h3,lst_c,green_pct
892830c5a8bffff,45.94,12.96
892830c5a8fffff,46.12,13.52
892830c5a93ffff,42.72,25.96
892830c5a97ffff,44.24,12.6
892830c5a9bffff,44.97,17.09
892830c5aa3ffff,43.98,16.21
892830c5aa7ffff,43.57,19.6
892830c5aabffff,37.39,27.26
892830c5ab3ffff,45.54,14.06
892830c5ab7ffff,45.96,10.77
892830c5abbffff,46.04,13.8
892830c5ac3ffff,44.52,10.83
892830c5ac7ffff,45.01,7.22
892830c5acbffff,41.19,13.78
892830c5acfffff,34.38,0.0
892830c5ad3ffff,46.53,13.65
892830c5ad7ffff,46.63,12.62
892830c5adbffff,43.2,15.88
892830c5c23ffff,45.97,9.06
892830c5c27ffff,45.83,6.84
892830c5c2bffff,44.28,9.21
892830c5c2fffff,46.13,10.51
892830c5c33ffff,47.05,11.73
892830c5c37ffff,45.64,13.99
892830c5c3bffff,45.17,11.55
892830c5c43ffff,43.61,13.75
892830c5c47ffff,43.79,13.45
892830c5c4bffff,45.9,10.38
892830c5c4fffff,44.49,11.99
892830c5c53ffff,43.75,13.7
892830c5c57ffff,43.89,13.14
892830c5c5bffff,43.55,13.68
892830c5c63ffff,45.26,10.05
892830c5c67ffff,44.26,9.79
892830c5c6bffff,47.06,9.5
892830c5c6fffff,44.95,9.56
892830c5c73ffff,44.49,13.03
892830c5c77ffff,44.45,12.35
892830c5c7bffff,44.91,12.81
892830c5ccbffff,44.05,13.38
892830c5d43ffff,43.31,12.96
892830c5d47ffff,43.05,12.85
892830c5d4bffff,44.44,10.56
892830c5d4fffff,44.32,11.51
892830c5d53ffff,44.98,8.49
892830c5d57ffff,43.81,7.78
892830c5d5bffff,43.75,12.01
892830c5d7bffff,43.67,12.65
892830c5dcbffff,45.79,7.89
892830c5dcfffff,45.13,14.58
892830c5e03ffff,46.6,3.12
892830c5e07ffff,47.12,7.71
892830c5e0bffff,46.58,6.75
892830c5e0fffff,46.37,7.21
892830c5e13ffff,44.25,14.53
892830c5e17ffff,46.5,10.19
892830c5e1bffff,47.34,6.52
892830c5e23ffff,45.81,14.73
892830c5e27ffff,46.69,13.7
892830c5e2bffff,46.48,14.57
892830c5e2fffff,46.37,14.69
892830c5e33ffff,47.4,6.98
892830c5e37ffff,47.29,10.38
892830c5e3bffff,47.2,12.14
892830c5e43ffff,47.84,14.35
892830c5e47ffff,47.49,17.57
892830c5e4bffff,47.82,17.66
892830c5e4fffff,48.01,12.56
892830c5e53ffff,46.46,10.18
892830c5e57ffff,47.78,6.03
892830c5e5bffff,47.74,13.91
892830c5e63ffff,47.54,14.69
892830c5e67ffff,45.09,19.23
892830c5e6bffff,47.82,17.47
892830c5e6fffff,46.91,9.74
892830c5e73ffff,47.15,12.33
892830c5e77ffff,45.4,20.74
892830c5e7bffff,47.15,15.43
892830c5e83ffff,45.89,10.98
892830c5e87ffff,46.3,6.66
892830c5e8bffff,45.18,10.54
892830c5e8fffff,46.23,10.84
892830c5e93ffff,44.68,13.12
892830c5e97ffff,45.06,11.33
892830c5e9bffff,45.99,9.34
892830c5ea3ffff,45.93,5.85
892830c5ea7ffff,47.45,10.16
892830c5eabffff,45.9,10.82
892830c5eafffff,48.38,9.61
892830c5eb3ffff,46.16,4.07
892830c5eb7ffff,45.16,9.56
892830c5ebbffff,46.14,5.73
892830c5ec3ffff,46.69,8.16
892830c5ec7ffff,45.2,9.14
892830c5ecbffff,47.47,9.55
892830c5ecfffff,47.96,6.85
892830c5ed3ffff,47.5,9.89
892830c5ed7ffff,47.66,8.49
892830c5edbffff,46.32,12.92
892830cc437ffff,25.5,35.3
892830cc487ffff,25.6,24.73
892830cc493ffff,27.17,6.22
892830cc497ffff,25.43,0.0
892830cc4a3ffff,27.54,18.15
892830cc4a7ffff,28.26,39.33
892830cc4afffff,25.93,12.62
892830cc4b3ffff,26.66,20.95
892830cc4b7ffff,29.17,45.0
892830cc4bbffff,25.35,29.73
892830cc503ffff,22.63,0.0
892830cc507ffff,22.51,0.0
892830cc50bffff,22.57,0.0
892830cc50fffff,22.54,0.0
892830cc513ffff,23.49,0.0
892830cc517ffff,22.65,0.0
892830cc51bffff,22.81,0.0
892830cc533ffff,22.44,0.0
892830cc53bffff,22.47,0.0
892830cc583ffff,29.09,36.12
892830cc587ffff,25.43,15.06
892830cc58bffff,30.14,39.01
892830cc58fffff,24.56,6.04
892830cc593ffff,28.98,44.6
892830cc597ffff,29.67,40.67
892830cc59bffff,30.15,37.06
892830cc5a3ffff,22.51,0.0
892830cc5a7ffff,22.43,0.0
892830cc5abffff,22.46,0.0
892830cc5afffff,22.41,0.0
892830cc5b3ffff,22.83,0.0
892830cc5b7ffff,22.65,0.0
892830cc5bbffff,22.68,0.0
892830cc5c3ffff,30.05,37.47
892830cc5c7ffff,25.98,19.75
892830cc5cbffff,25.5,16.91
892830cc5cfffff,24.55,8.01
892830cc5d3ffff,29.37,42.99
892830cc5d7ffff,30.67,38.38
892830cc5dbffff,28.95,29.48
892830ce003ffff,44.57,16.99
892830ce007ffff,48.03,16.51
892830ce00bffff,44.72,17.15
892830ce00fffff,46.37,14.61
892830ce013ffff,48.58,15.39
892830ce017ffff,47.96,16.71
892830ce01bffff,46.38,13.94
892830ce023ffff,46.41,6.69
892830ce027ffff,45.57,9.56
892830ce02bffff,45.03,7.46
892830ce02fffff,45.07,14.5
892830ce033ffff,47.16,15.48
892830ce037ffff,46.19,21.85
892830ce03bffff,47.95,5.32
892830ce043ffff,46.88,6.45
892830ce047ffff,46.39,11.66
892830ce04bffff,46.51,4.93
892830ce04fffff,47.51,5.52
892830ce057ffff,46.66,16.83
892830ce05bffff,47.55,8.11
892830ce063ffff,45.78,8.22
892830ce067ffff,45.01,7.24
892830ce06bffff,46.94,7.18
892830ce06fffff,45.24,10.67
892830ce073ffff,46.84,8.98
892830ce077ffff,46.58,3.26
