h3,land,land_frac,wc_code
892830c5c73ffff,grassland,0.997,30
892830c5c77ffff,grassland,1.0,30
892830c5c7bffff,grassland,1.0,30
892830c5ccbffff,grassland,1.0,30
892830c5d43ffff,grassland,0.991,30
892830c5d47ffff,grassland,0.996,30
892830c5d4bffff,grassland,0.823,30
892830c5d4fffff,grassland,0.862,30
892830c5d53ffff,grassland,0.418,30
892830c5d57ffff,grassland,0.95,30
892830c5d5bffff,grassland,0.943,30
892830c5d7bffff,grassland,0.965,30
892830c5dcbffff,grassland,0.574,30
892830c5dcfffff,grassland,0.555,30
892830c5e03ffff,developed,0.819,50
892830c5e07ffff,developed,0.807,50
892830c5e0bffff,developed,0.632,50
892830c5e0fffff,developed,0.673,50
892830c5e13ffff,grassland,0.545,30
892830c5e17ffff,grassland,0.637,30
892830c5e1bffff,developed,0.46,50
892830c5e23ffff,developed,0.592,50
892830c5e27ffff,grassland,0.452,30
892830c5e2bffff,developed,0.69,50
892830c5e2fffff,grassland,0.44,30
892830c5e33ffff,grassland,0.511,30
892830c5e37ffff,developed,0.485,50
892830c5e3bffff,developed,0.614,50
892830c5e43ffff,developed,0.821,50
892830c5e47ffff,developed,0.735,50
892830c5e4bffff,developed,0.645,50
892830c5e4fffff,developed,0.857,50
892830c5e53ffff,grassland,0.448,30
892830c5e57ffff,grassland,0.442,30
892830c5e5bffff,developed,0.666,50
892830c5e63ffff,developed,0.831,50
892830c5e67ffff,developed,0.481,50
892830c5e6bffff,developed,0.854,50
892830c5e6fffff,developed,0.975,50
892830c5e73ffff,developed,0.735,50
892830c5e77ffff,woodland,0.483,10
892830c5e7bffff,developed,0.71,50
892830c5e83ffff,developed,0.649,50
892830c5e87ffff,developed,0.882,50
892830c5e8bffff,developed,0.982,50
892830c5e8fffff,developed,0.898,50
892830c5e93ffff,grassland,0.833,30
892830c5e97ffff,grassland,0.634,30
892830c5e9bffff,developed,0.885,50
892830c5ea3ffff,developed,0.917,50
892830c5ea7ffff,grassland,0.885,30
892830c5eabffff,grassland,0.538,30
892830c5eafffff,grassland,0.951,30
892830c5eb3ffff,developed,0.56,50
892830c5eb7ffff,grassland,0.474,30
892830c5ebbffff,developed,0.992,50
892830c5ec3ffff,developed,0.742,50
892830c5ec7ffff,grassland,0.695,30
892830c5ecbffff,developed,0.786,50
892830c5ecfffff,developed,0.435,50
892830c5ed3ffff,developed,0.968,50
892830c5ed7ffff,developed,0.739,50
892830c5edbffff,developed,0.572,50
892830cc437ffff,wetland,0.687,90
892830cc487ffff,wetland,0.611,90
892830cc493ffff,open water,0.519,80
892830cc497ffff,open water,0.719,80
892830cc4a3ffff,wetland,0.542,90
892830cc4a7ffff,wetland,0.79,90
892830cc4afffff,open water,0.496,80
892830cc4b3ffff,wetland,0.502,90
892830cc4b7ffff,wetland,0.606,90
892830cc4bbffff,wetland,0.635,90
892830cc503ffff,open water,1.0,80
892830cc507ffff,open water,1.0,80
892830cc50bffff,open water,1.0,80
892830cc50fffff,open water,1.0,80
892830cc513ffff,open water,0.804,80
892830cc517ffff,open water,1.0,80
892830cc51bffff,open water,1.0,80
892830cc533ffff,open water,1.0,80
892830cc53bffff,open water,1.0,80
892830cc583ffff,wetland,0.991,90
892830cc587ffff,wetland,0.573,90
892830cc58bffff,wetland,0.996,90
892830cc58fffff,open water,0.578,80
892830cc593ffff,wetland,0.888,90
892830cc597ffff,wetland,0.994,90
892830cc59bffff,wetland,0.991,90
892830cc5a3ffff,open water,1.0,80
892830cc5a7ffff,open water,1.0,80
892830cc5abffff,open water,1.0,80
892830cc5afffff,open water,1.0,80
892830cc5b3ffff,open water,1.0,80
892830cc5b7ffff,open water,1.0,80
892830cc5bbffff,open water,1.0,80
892830cc5c3ffff,wetland,0.945,90
