id,previous_rank,current_rank,previous_score,current_score,previous_pop,current_pop,previous_ac,current_ac,rank_change
2193,2652,2652,4.7,4.7,86,86,87.21,87.21,0
514,2653,2653,4.7,4.7,93,93,95.4,95.4,0
1131,2654,2654,4.7,4.7,9,9,94.6,94.6,0
2194,2655,2655,4.7,4.7,86,86,87.4,87.4,0
2198,2656,2656,4.7,4.7,86,86,87.4,87.4,0
2263,2657,2657,4.7,4.7,86,86,87.4,87.4,0
2298,2658,2658,4.6,4.6,7,7,95.37,95.37,0
329,2659,2659,4.5,4.5,155,155,87.48,87.48,0
488,2660,2660,4.4,4.4,93,93,95.4,95.4,0
1111,2661,2661,4.2,4.2,4,4,98.6,98.6,0
1096,2662,2662,4.1,4.1,31,31,98.6,98.6,0
1745,2663,2663,4.0,4.0,84,84,94.3,94.3,0
344,2664,2664,3.9,3.9,330,330,90.6,90.6,0
1127,2665,2665,3.6,3.6,9,9,94.6,94.6,0
578,2666,2666,3.5,3.5,227,227,90.6,90.6,0
594,2667,2667,3.3,3.3,45,45,90.6,90.6,0
1160,2668,2668,3.3,3.3,8,8,94.64,94.64,0
868,2669,2669,3.3,3.3,127,127,90.6,90.6,0
516,2670,2670,3.1,3.1,93,93,95.4,95.4,0
499,2671,2671,2.9,2.9,110,110,93.07,93.07,0
904,2672,2672,2.5,2.5,4,4,98.6,98.6,0
1104,2673,2673,2.5,2.5,11,11,98.6,98.6,0
429,2674,2674,2.4,2.4,93,93,95.4,95.4,0
484,2675,2675,2.4,2.4,93,93,95.4,95.4,0
1499,2676,2676,2.4,2.4,93,93,95.4,95.4,0
1071,2677,2677,2.2,2.2,4,4,98.6,98.6,0
1081,2678,2678,2.0,2.0,4,4,98.6,98.6,0
1102,2679,2679,1.9,1.9,63,63,98.6,98.6,0
1203,2680,2680,1.7,1.7,4,4,98.6,98.6,0
1121,2681,2681,1.4,1.4,9,9,94.6,94.6,0
1154,2682,2682,1.4,1.4,9,9,94.6,94.6,0
1176,2683,2683,1.3,1.3,4,4,98.6,98.6,0
912,2684,2684,1.2,1.2,5,5,98.58,98.58,0
2303,2685,2685,0.7,0.7,85,85,98.33,98.33,0
2300,2686,2686,0.5,0.5,5,5,97.18,97.18,0
1067,2687,2687,0.0,0.0,4,4,98.6,98.6,0
1069,2688,2688,0.0,0.0,4,4,98.6,98.6,0
1070,2689,2689,0.0,0.0,4,4,98.6,98.6,0
1074,2690,2690,0.0,0.0,4,4,98.6,98.6,0
1083,2691,2691,0.0,0.0,4,4,98.6,98.6,0
1103,2692,2692,0.0,0.0,4,4,98.6,98.6,0
1109,2693,2693,0.0,0.0,4,4,98.6,98.6,0
1110,2694,2694,0.0,0.0,4,4,98.6,98.6,0
1201,2695,2695,0.0,0.0,4,4,98.6,98.6,0
1202,2696,2696,0.0,0.0,4,4,98.6,98.6,0
2131,2697,2697,0.0,0.0,4,4,98.6,98.6,0
