id,previous_rank,current_rank,previous_score,current_score,previous_pop,current_pop,previous_ac,current_ac,rank_change
168,163,163,55.9,55.9,262,262,93.5,93.5,0
449,164,164,55.9,55.9,113,113,93.8,93.8,0
481,165,165,55.8,55.8,1,1,93.8,93.8,0
85,166,166,55.2,55.2,48,48,93.8,93.8,0
327,167,167,55.2,55.2,20,20,93.5,93.5,0
113,168,168,55.1,55.1,188,188,84.61,84.61,0
268,169,169,55.0,55.0,329,329,91.3,91.3,0
444,170,170,55.0,55.0,217,217,92.7,92.7,0
300,171,171,54.9,54.9,169,169,87.7,87.7,0
163,172,172,54.6,54.6,214,214,97.8,97.8,0
333,173,173,54.6,54.6,22,22,93.8,93.8,0
101,174,174,54.5,54.5,47,47,93.8,93.8,0
25,175,175,54.5,54.5,79,79,100.0,100.0,0
170,176,176,54.3,54.3,216,216,93.5,93.5,0
248,177,177,54.1,54.1,174,174,88.68,88.68,0
516,178,178,54.0,54.0,139,139,84.04,84.04,0
93,179,179,53.9,53.9,63,63,93.8,93.8,0
479,180,180,53.8,53.8,31,31,93.8,93.8,0
274,181,181,53.7,53.7,400,400,91.3,91.3,0
118,182,182,53.7,53.7,169,169,85.59,85.59,0
253,183,183,53.5,53.5,386,386,92.05,92.05,0
496,184,184,53.4,53.4,139,139,92.7,92.7,0
342,185,185,53.3,53.3,59,59,93.5,93.5,0
373,186,186,53.2,53.2,587,587,80.9,80.9,0
162,187,187,52.9,52.9,260,260,99.46,99.46,0
287,188,188,52.6,52.6,364,364,89.71,89.71,0
84,189,189,52.6,52.6,12,12,93.8,93.8,0
161,190,190,52.4,52.4,493,493,99.69,99.69,0
528,191,191,52.1,52.1,112,112,92.7,92.7,0
504,192,192,52.0,52.0,160,160,91.99,91.99,0
301,193,193,51.8,51.8,91,91,86.9,86.9,0
204,194,194,51.7,51.7,299,299,87.6,87.6,0
151,195,195,51.6,51.6,297,297,99.9,99.9,0
149,196,196,51.4,51.4,94,94,99.8,99.8,0
461,197,197,51.4,51.4,373,373,93.5,93.5,0
235,198,198,51.0,51.0,112,112,86.9,86.9,0
404,199,199,51.0,51.0,193,193,91.94,91.94,0
171,200,200,51.0,51.0,244,244,93.5,93.5,0
505,201,201,50.6,50.6,118,118,92.7,92.7,0
129,202,202,50.6,50.6,261,261,99.62,99.62,0
153,203,203,50.5,50.5,120,120,99.8,99.8,0
408,204,204,50.5,50.5,263,263,87.6,87.6,0
326,205,205,50.5,50.5,83,83,93.8,93.8,0
501,206,206,50.3,50.3,160,160,88.24,88.24,0
308,207,207,50.2,50.2,546,546,93.8,93.8,0
521,208,208,50.2,50.2,162,162,84.08,84.08,0
279,209,209,50.2,50.2,180,180,92.9,92.9,0
117,210,210,50.0,50.0,120,120,93.8,93.8,0
515,211,211,50.0,50.0,285,285,84.1,84.1,0
160,212,212,49.3,49.3,395,395,99.8,99.8,0
51,213,213,49.3,49.3,86,86,99.3,99.3,0
150,214,214,49.3,49.3,127,127,99.8,99.8,0
457,215,215,49.1,49.1,194,194,93.8,93.8,0
316,216,216,49.0,49.0,3,3,99.3,99.3,0
187,217,217,48.9,48.9,27,27,84.1,84.1,0
462,218,218,48.8,48.8,369,369,93.56,93.56,0
383,219,219,48.8,48.8,170,170,85.48,85.48,0
177,220,220,48.8,48.8,298,298,99.89,99.89,0
352,221,221,48.8,48.8,209,209,80.9,80.9,0
472,222,222,48.7,48.7,29,29,93.8,93.8,0
440,223,223,48.7,48.7,62,62,92.7,92.7,0
459,224,224,48.4,48.4,30,30,93.8,93.8,0
376,225,225,48.4,48.4,501,501,80.9,80.9,0
232,226,226,48.1,48.1,35,35,87.19,87.19,0
108,227,227,48.1,48.1,108,108,84.9,84.9,0
430,228,228,48.1,48.1,214,214,92.7,92.7,0
206,229,229,47.9,47.9,388,388,92.9,92.9,0
83,230,230,47.7,47.7,218,218,86.03,86.03,0
104,231,231,47.6,47.6,112,112,85.3,85.3,0
485,232,232,47.6,47.6,81,81,93.8,93.8,0
228,233,233,47.3,47.3,37,37,91.3,91.3,0
495,234,234,47.2,47.2,104,104,92.7,92.7,0
509,235,235,47.1,47.1,257,257,84.1,84.1,0
348,236,236,47.0,47.0,182,182,92.9,92.9,0
220,237,237,47.0,47.0,48,48,87.6,87.6,0
231,238,238,47.0,47.0,95,95,86.9,86.9,0
53,239,239,46.9,46.9,251,251,93.5,93.5,0
89,240,240,46.8,46.8,14,14,93.8,93.8,0
384,241,241,46.8,46.8,180,180,92.7,92.7,0
332,242,242,46.5,46.5,365,365,93.51,93.51,0
102,243,243,46.5,46.5,117,117,84.9,84.9,0
208,244,244,46.3,46.3,294,294,92.9,92.9,0
537,245,245,46.3,46.3,143,143,92.7,92.7,0
367,246,246,46.1,46.1,138,138,93.8,93.8,0
329,247,247,46.1,46.1,8,8,93.5,93.5,0
138,248,248,46.0,46.0,101,101,99.8,99.8,0
222,249,249,45.7,45.7,286,286,87.6,87.6,0
272,250,250,45.7,45.7,269,269,87.68,87.68,0
442,251,251,45.5,45.5,95,95,92.25,92.25,0
435,252,252,45.1,45.1,204,204,92.01,92.01,0
405,253,253,44.4,44.4,245,245,91.15,91.15,0
271,254,254,44.4,44.4,363,363,91.3,91.3,0
90,255,255,44.3,44.3,39,39,93.8,93.8,0
115,256,256,44.3,44.3,114,114,84.9,84.9,0
448,257,257,44.3,44.3,117,117,93.8,93.8,0
531,258,258,44.3,44.3,22,22,92.7,92.7,0
82,259,259,44.2,44.2,81,81,93.8,93.8,0
303,260,260,44.1,44.1,86,86,86.9,86.9,0
112,261,261,44.0,44.0,15,15,84.9,84.9,0
380,262,262,43.5,43.5,168,168,87.42,87.42,0
365,263,263,43.1,43.1,258,258,87.67,87.67,0
30,264,264,43.0,43.0,113,113,99.3,99.3,0
56,265,265,42.9,42.9,196,196,99.3,99.3,0
320,266,266,42.2,42.2,266,266,93.8,93.8,0
111,267,267,41.8,41.8,158,158,85.86,85.86,0
86,268,268,41.8,41.8,32,32,88.73,88.73,0
105,269,269,41.7,41.7,145,145,86.25,86.25,0
302,270,270,41.6,41.6,80,80,86.9,86.9,0
146,271,271,41.4,41.4,372,372,93.5,93.5,0
275,272,272,41.2,41.2,112,112,92.9,92.9,0
334,273,273,41.2,41.2,175,175,99.3,99.3,0
244,274,274,41.1,41.1,559,559,91.3,91.3,0
139,275,275,41.0,41.0,471,471,98.42,98.42,0
249,276,276,40.7,40.7,282,282,91.42,91.42,0
524,277,277,40.7,40.7,4,4,92.7,92.7,0
273,278,278,40.5,40.5,133,133,86.9,86.9,0
364,279,279,40.2,40.2,234,234,80.9,80.9,0
22,280,280,40.2,40.2,125,125,98.56,98.56,0
304,281,281,40.1,40.1,285,285,95.6,95.6,0
502,282,282,40.1,40.1,109,109,92.7,92.7,0
164,283,283,40.0,40.0,81,81,97.8,97.8,0
175,284,284,39.6,39.6,358,358,99.59,99.59,0
27,285,285,39.5,39.5,135,135,100.0,100.0,0
412,286,286,39.5,39.5,213,213,87.6,87.6,0
324,287,287,39.3,39.3,351,351,93.8,93.8,0
241,288,288,39.3,39.3,291,291,91.3,91.3,0
263,289,289,39.1,39.1,43,43,86.9,86.9,0
406,290,290,38.9,38.9,96,96,89.5,89.5,0
262,291,291,38.9,38.9,12,12,86.9,86.9,0
503,292,292,38.8,38.8,114,114,92.7,92.7,0
242,293,293,38.6,38.6,150,150,93.8,93.8,0
284,294,294,38.3,38.3,349,349,92.9,92.9,0
55,295,295,38.3,38.3,255,255,99.3,99.3,0
250,296,296,38.2,38.2,277,277,91.3,91.3,0
374,297,297,38.1,38.1,175,175,86.9,86.9,0
286,298,298,38.0,38.0,168,168,92.9,92.9,0
400,299,299,37.9,37.9,196,196,89.5,89.5,0
331,300,300,37.7,37.7,395,395,93.8,93.8,0
174,301,301,37.6,37.6,17,17,98.23,98.23,0
486,302,302,37.5,37.5,105,105,88.45,88.45,0
410,303,303,37.4,37.4,265,265,87.6,87.6,0
388,304,304,37.4,37.4,218,218,80.9,80.9,0
246,305,305,37.4,37.4,65,65,93.48,93.48,0
343,306,306,37.3,37.3,96,96,86.9,86.9,0
225,307,307,37.3,37.3,215,215,87.6,87.6,0
221,308,308,37.2,37.2,4,4,87.6,87.6,0
425,309,309,36.8,36.8,137,137,89.5,89.5,0
