h3,land,land_frac,wc_code
892830d2bb3ffff,grassland,0.736,30
892830d2bb7ffff,grassland,0.495,30
892830d2bbbffff,developed,0.448,50
892830d2bc3ffff,developed,0.794,50
892830d2bc7ffff,grassland,0.426,30
892830d2bcbffff,developed,0.653,50
892830d2bcfffff,developed,0.83,50
892830d2bd3ffff,developed,0.716,50
892830d2bd7ffff,developed,0.58,50
892830d2bdbffff,developed,0.754,50
892830d2d23ffff,developed,0.68,50
892830d2d27ffff,developed,0.612,50
892830d2d2bffff,developed,0.799,50
892830d2d2fffff,developed,0.808,50
892830d2d37ffff,developed,0.718,50
892830d2d3bffff,developed,0.765,50
892830d2d63ffff,grassland,1.0,30
892830d2d67ffff,developed,0.613,50
892830d2d6bffff,grassland,0.618,30
892830d2d6fffff,grassland,1.0,30
892830d2d77ffff,developed,0.586,50
892830d2d7bffff,grassland,0.901,30
892830d44c3ffff,grassland,0.936,30
892830d44d3ffff,grassland,0.911,30
892830d44d7ffff,grassland,0.978,30
892830d44dbffff,grassland,0.841,30
892830d6203ffff,grassland,0.473,30
892830d6207ffff,grassland,0.702,30
892830d620bffff,woodland,0.581,10
892830d620fffff,grassland,0.683,30
892830d6213ffff,grassland,0.89,30
892830d6217ffff,grassland,0.829,30
892830d621bffff,developed,0.676,50
892830d6243ffff,developed,0.602,50
892830d6247ffff,developed,0.759,50
892830d624bffff,developed,0.802,50
892830d624fffff,developed,0.507,50
892830d6253ffff,woodland,0.696,10
892830d6257ffff,developed,0.551,50
892830d625bffff,woodland,0.733,10
892830d6263ffff,grassland,0.492,30
892830d6267ffff,woodland,0.562,10
892830d626bffff,grassland,0.46,30
892830d626fffff,grassland,0.955,30
892830d6273ffff,grassland,0.388,30
892830d6277ffff,grassland,0.531,30
892830d627bffff,grassland,0.463,30
892830d628bffff,grassland,0.994,30
892830d62c3ffff,grassland,0.789,30
892830d62c7ffff,grassland,0.905,30
892830d62cbffff,developed,0.517,50
892830d62cfffff,woodland,0.516,10
892830d62d3ffff,grassland,0.975,30
892830d62dbffff,developed,0.441,50
892830d7003ffff,grassland,0.382,30
892830d7007ffff,grassland,0.493,30
892830d700bffff,grassland,0.833,30
892830d700fffff,grassland,0.635,30
892830d7013ffff,developed,0.422,50
892830d7017ffff,grassland,0.502,30
892830d701bffff,grassland,0.635,30
892830d7023ffff,woodland,0.403,10
892830d7027ffff,woodland,0.502,10
