GEOID,pop,pop_moe,income,income_moe,units,units_moe,occupied,occupied_moe,pop65,pop65_moe,acs_year
060133891001,1156,243,61283.0,29672.0,585,131,553,121,251,126.86607111438424,2024
060133891002,1160,241,92891.0,31160.0,582,111,567,111,202,70.11419257183242,2024
060133892001,723,184,90114.0,25366.0,301,60,301,60,15,45.58508528016593,2024
060133892002,1054,271,89423.0,20530.0,435,71,416,69,156,57.619441163551734,2024
060133901001,673,140,208750.0,74051.0,316,49,296,51,181,55.02726596879042,2024
060133901002,996,194,185294.0,50617.0,496,172,420,90,280,85.45174076635303,2024
060133901003,679,161,189333.0,35318.0,251,64,244,64,142,56.91221310052878,2024
060133902001,1133,197,175625.0,51788.0,484,98,475,100,272,68.59300255857006,2024
060133902002,697,109,205250.0,41180.0,319,43,295,43,163,41.83300132670378,2024
060133910001,880,187,164896.0,94121.0,350,68,343,69,224,91.92932067626738,2024
060133910002,1756,340,197750.0,62651.0,751,98,751,98,396,96.82974749528164,2024
060133920001,889,154,250001.0,,392,61,370,59,233,67.12674578735364,2024
060133920002,990,325,250001.0,,436,101,402,103,237,104.28326807307106,2024
060133920003,595,169,250001.0,,255,54,255,54,112,61.91930232165088,2024
060133922011,1664,462,86250.0,73872.0,468,166,468,166,210,107.91200118615167,2024
060133922012,1224,441,119257.0,64947.0,504,187,504,187,23,60.0,2024
060133922013,2369,573,123165.0,30245.0,856,257,847,257,279,134.24231821597837,2024
060133922021,1221,451,96667.0,32782.0,403,134,326,117,241,112.09371079592289,2024
060133922022,1254,441,62823.0,19418.0,447,99,420,102,387,140.52401929919313,2024
060133922023,2339,1190,162971.0,60564.0,740,288,740,288,358,143.90621946253748,2024
060133923001,2871,557,135083.0,53805.0,853,111,831,111,326,105.25207836427744,2024
060133923002,1169,260,238482.0,30112.0,321,69,321,69,241,109.45318634009702,2024
060139800001,475,17,,,0,14,0,14,6,47.49736834815167,2024
060139900000,0,14,,,0,14,0,14,0,48.49742261192856,2024
