h3,land,land_frac,wc_code
882830d52bfffff,woodland,0.88,10
882830d52dfffff,woodland,0.817,10
882830d531fffff,grassland,0.5,30
882830d533fffff,woodland,0.516,10
882830d535fffff,grassland,0.543,30
882830d537fffff,woodland,0.644,10
882830d539fffff,woodland,0.694,10
882830d53bfffff,woodland,0.737,10
882830d53dfffff,woodland,0.689,10
882830d541fffff,grassland,0.618,30
882830d543fffff,grassland,0.824,30
882830d545fffff,woodland,0.535,10
882830d547fffff,grassland,0.575,30
882830d549fffff,woodland,0.488,10
882830d54bfffff,grassland,0.652,30
882830d54dfffff,woodland,0.456,10
882830d551fffff,grassland,0.932,30
882830d553fffff,grassland,0.873,30
882830d555fffff,grassland,0.475,30
882830d557fffff,grassland,0.45,30
882830d559fffff,grassland,0.442,30
882830d55bfffff,grassland,0.55,30
882830d55dfffff,grassland,0.928,30
882830d561fffff,grassland,0.728,30
882830d563fffff,grassland,0.54,30
882830d565fffff,grassland,0.503,30
882830d567fffff,woodland,0.662,10
882830d569fffff,grassland,0.465,30
882830d56bfffff,grassland,0.467,30
882830d56dfffff,woodland,0.499,10
882830d581fffff,woodland,0.52,10
882830d583fffff,woodland,0.603,10
882830d585fffff,grassland,0.648,30
882830d587fffff,woodland,0.486,10
882830d589fffff,grassland,0.955,30
882830d58bfffff,grassland,0.924,30
882830d58dfffff,grassland,0.764,30
882830d591fffff,grassland,0.854,30
882830d593fffff,grassland,0.744,30
882830d595fffff,grassland,0.623,30
882830d597fffff,grassland,0.702,30
882830d599fffff,grassland,0.441,30
882830d59bfffff,grassland,0.893,30
882830d59dfffff,grassland,0.766,30
882830d5a1fffff,woodland,0.508,10
882830d5a3fffff,grassland,0.55,30
882830d5a5fffff,woodland,0.794,10
882830d5a7fffff,woodland,0.66,10
882830d5a9fffff,grassland,0.781,30
882830d5abfffff,grassland,0.682,30
882830d5adfffff,grassland,0.808,30
882830d5b1fffff,grassland,0.995,30
882830d5b3fffff,grassland,0.926,30
882830d5b5fffff,grassland,0.892,30
882830d5b7fffff,grassland,0.959,30
882830d5b9fffff,grassland,0.915,30
882830d5bbfffff,grassland,0.729,30
882830d5bdfffff,grassland,0.791,30
882830d5c1fffff,woodland,0.527,10
882830d5c3fffff,grassland,0.678,30
882830d5c5fffff,grassland,0.565,30
882830d5c7fffff,woodland,0.638,10
882830d5c9fffff,woodland,0.395,10
882830d5cbfffff,grassland,0.49,30
882830d5cdfffff,woodland,0.638,10
882830d5d1fffff,woodland,0.576,10
882830d5d3fffff,woodland,0.618,10
882830d5d5fffff,grassland,0.458,30
882830d5d7fffff,grassland,0.526,30
882830d5d9fffff,woodland,0.67,10
882830d5dbfffff,woodland,0.682,10
882830d5ddfffff,woodland,0.568,10
882830d5e1fffff,woodland,0.547,10
882830d5e3fffff,grassland,0.562,30
882830d5e5fffff,grassland,0.55,30
882830d5e7fffff,grassland,0.658,30
882830d5e9fffff,grassland,0.468,30
882830d5ebfffff,woodland,0.495,10
882830d5edfffff,woodland,0.72,10
882830d60dfffff,grassland,0.906,30
882830d621fffff,grassland,0.526,30
882830d623fffff,grassland,0.851,30
882830d625fffff,developed,0.537,50
882830d627fffff,grassland,0.529,30
882830d629fffff,grassland,0.899,30
882830d62bfffff,grassland,0.699,30
882830d62dfffff,grassland,0.59,30
882830d631fffff,grassland,0.832,30
882830d633fffff,grassland,0.532,30
882830d635fffff,grassland,0.861,30
882830d637fffff,grassland,0.555,30
882830d661fffff,woodland,0.603,10
882830d663fffff,grassland,0.717,30
882830d665fffff,grassland,0.562,30
882830d667fffff,grassland,0.588,30
882830d669fffff,grassland,0.886,30
882830d66bfffff,grassland,0.888,30
882830d66dfffff,woodland,0.384,10
882830d681fffff,woodland,0.593,10
882830d683fffff,grassland,0.583,30
882830d685fffff,woodland,0.709,10
882830d687fffff,woodland,0.504,10
882830d68bfffff,woodland,0.617,10
882830d691fffff,woodland,0.505,10
882830d693fffff,grassland,0.869,30
882830d695fffff,woodland,0.518,10
882830d697fffff,grassland,0.813,30
882830d699fffff,grassland,0.579,30
882830d69bfffff,grassland,0.674,30
882830d69dfffff,woodland,0.647,10
882830d6a1fffff,woodland,0.564,10
882830d6a3fffff,grassland,0.635,30
882830d6a5fffff,woodland,0.704,10
882830d6a7fffff,woodland,0.841,10
882830d6a9fffff,grassland,0.552,30
882830d6abfffff,grassland,0.498,30
882830d6adfffff,woodland,0.765,10
882830d6b1fffff,woodland,0.594,10
882830d6b3fffff,woodland,0.616,10
882830d6b5fffff,woodland,0.565,10
882830d6b7fffff,woodland,0.734,10
882830d6b9fffff,woodland,0.649,10
882830d6bbfffff,grassland,0.532,30
882830d6bdfffff,woodland,0.515,10
882830d6e3fffff,woodland,0.778,10
882830d6e5fffff,woodland,0.526,10
882830d6e7fffff,grassland,0.605,30
882830d701fffff,grassland,0.569,30
882830d703fffff,woodland,0.342,10
882830d705fffff,grassland,0.44,30
882830d707fffff,developed,0.395,50
882830d709fffff,developed,0.425,50
882830d70bfffff,developed,0.511,50
882830d70dfffff,developed,0.442,50
882830d711fffff,developed,0.579,50
882830d713fffff,developed,0.403,50
882830d715fffff,woodland,0.438,10
882830d717fffff,woodland,0.522,10
882830d719fffff,developed,0.673,50
882830d71bfffff,grassland,0.449,30
882830d71dfffff,developed,0.792,50
882830d721fffff,developed,0.438,50
882830d723fffff,grassland,0.827,30
882830d725fffff,grassland,0.793,30
882830d727fffff,developed,0.594,50
882830d729fffff,grassland,0.539,30
882830d72bfffff,grassland,0.503,30
882830d72dfffff,grassland,0.45,30
882830d731fffff,grassland,0.929,30
882830d733fffff,grassland,0.799,30
882830d735fffff,woodland,0.436,10
882830d737fffff,grassland,0.34,30
882830d739fffff,woodland,0.345,10
882830d73bfffff,woodland,0.385,10
882830d73dfffff,grassland,0.686,30
882830d741fffff,developed,0.694,50
882830d743fffff,woodland,0.506,10
882830d745fffff,developed,0.525,50
882830d747fffff,developed,0.442,50
882830d749fffff,developed,0.739,50
882830d74bfffff,developed,0.443,50
882830d74dfffff,developed,0.759,50
882830d751fffff,developed,0.554,50
882830d753fffff,developed,0.56,50
882830d755fffff,developed,0.658,50
882830d757fffff,developed,0.608,50
882830d759fffff,woodland,0.493,10
882830d75bfffff,woodland,0.52,10
882830d75dfffff,developed,0.472,50
882830d761fffff,grassland,0.598,30
882830d763fffff,grassland,0.439,30
882830d765fffff,developed,0.762,50
882830d767fffff,developed,0.43,50
882830d769fffff,grassland,0.983,30
882830d76bfffff,grassland,0.717,30
882830d76dfffff,grassland,0.506,30
882830d801fffff,grassland,0.935,30
882830d803fffff,grassland,0.991,30
882830d805fffff,grassland,0.905,30
882830d807fffff,grassland,0.922,30
882830d809fffff,grassland,0.994,30
882830d80bfffff,grassland,0.986,30
882830d80dfffff,grassland,0.969,30
882830d811fffff,grassland,0.985,30
882830d813fffff,grassland,0.915,30
882830d815fffff,grassland,0.988,30
882830d817fffff,grassland,0.923,30
882830d819fffff,grassland,0.993,30
882830d81bfffff,grassland,0.948,30
882830d81dfffff,grassland,0.996,30
882830d821fffff,grassland,0.641,30
882830d823fffff,grassland,0.618,30
882830d825fffff,grassland,0.797,30
882830d827fffff,cropland,0.721,40
882830d829fffff,grassland,0.828,30
882830d82bfffff,grassland,0.884,30
882830d82dfffff,grassland,0.49,30
882830d831fffff,grassland,0.772,30
882830d833fffff,grassland,0.771,30
882830d835fffff,grassland,0.499,30
882830d837fffff,cropland,0.441,40
882830d839fffff,grassland,0.723,30
882830d83bfffff,grassland,0.614,30
882830d83dfffff,grassland,0.904,30
882830d841fffff,grassland,0.956,30
882830d843fffff,grassland,0.997,30
882830d845fffff,grassland,0.925,30
882830d847fffff,grassland,0.958,30
882830d849fffff,grassland,0.979,30
882830d84bfffff,grassland,0.992,30
882830d84dfffff,grassland,1.0,30
882830d851fffff,grassland,1.0,30
882830d853fffff,grassland,0.99,30
882830d855fffff,grassland,0.994,30
882830d857fffff,grassland,0.989,30
882830d859fffff,grassland,1.0,30
882830d85bfffff,grassland,1.0,30
882830d85dfffff,grassland,1.0,30
882830d861fffff,grassland,0.799,30
882830d863fffff,grassland,0.936,30
882830d865fffff,cropland,0.508,40
882830d867fffff,grassland,0.772,30
882830d869fffff,grassland,0.989,30
882830d86bfffff,grassland,0.823,30
882830d86dfffff,grassland,0.787,30
882830d881fffff,grassland,0.999,30
882830d883fffff,grassland,0.889,30
882830d885fffff,grassland,0.805,30
882830d887fffff,grassland,0.93,30
882830d889fffff,grassland,0.96,30
882830d88bfffff,grassland,0.943,30
882830d88dfffff,grassland,0.949,30
882830d891fffff,grassland,0.874,30
882830d893fffff,grassland,0.945,30
882830d895fffff,grassland,0.556,30
882830d897fffff,grassland,0.42,30
882830d899fffff,grassland,0.985,30
882830d89bfffff,grassland,0.975,30
882830d89dfffff,grassland,0.553,30
882830d8a1fffff,cropland,0.544,40
882830d8a3fffff,cropland,0.427,40
882830d8a5fffff,cropland,0.772,40
882830d8a7fffff,cropland,0.618,40
882830d8a9fffff,cropland,0.469,40
882830d8abfffff,grassland,0.371,30
882830d8adfffff,cropland,0.682,40
882830d8b1fffff,cropland,0.577,40
882830d8b3fffff,developed,0.336,50
882830d8b5fffff,cropland,0.652,40
882830d8b7fffff,cropland,0.636,40
882830d8b9fffff,cropland,0.667,40
882830d8bbfffff,developed,0.484,50
882830d8bdfffff,cropland,0.749,40
882830d8c1fffff,grassland,0.97,30
882830d8c3fffff,grassland,0.979,30
882830d8c5fffff,grassland,0.859,30
882830d8c7fffff,grassland,0.919,30
882830d8c9fffff,grassland,0.988,30
882830d8cbfffff,grassland,0.983,30
882830d8cdfffff,grassland,0.949,30
882830d8d1fffff,grassland,0.624,30
882830d8d3fffff,grassland,0.989,30
882830d8d5fffff,grassland,0.963,30
882830d8d7fffff,grassland,0.863,30
882830d8d9fffff,grassland,0.875,30
882830d8dbfffff,grassland,0.828,30
882830d8ddfffff,grassland,0.995,30
882830d8e1fffff,grassland,0.689,30
882830d8e3fffff,grassland,0.652,30
882830d8e5fffff,grassland,0.847,30
882830d8e7fffff,grassland,0.366,30
882830d8e9fffff,grassland,0.965,30
882830d8ebfffff,grassland,0.735,30
