h3,canopy_pct,row_canopy_pct,canopy_m2,row_m2,assessed_m2,coverage_frac,canopy_source,canopy_year,canopy_quality
8828301143fffff,3.884690353246931,0.0,4090.0,0.0,105274.8,0.13742071858194976,usfs-2022,2022,partial
8828301145fffff,1.328564866840188,0.0,9934.0,0.0,747712.08,0.9758231114075786,usfs-2022,2022,partial
8828301147fffff,0.0,0.0,0.0,0.0,366785.28,0.4787500628865245,usfs-2022,2022,partial
8828301149fffff,6.212827734932004,2.1123343131273917,47605.0,50832.0,766236.6,1.0,usfs-2022,2022,full
882830114bfffff,0.7597198553855875,0.0,4926.0,0.0,648333.72,0.8462467329480818,usfs-2022,2022,partial
882830114dfffff,1.8460698607895607,3.4747188231801838,14146.0,21071.0,766287.36,0.9999976172185898,usfs-2022,2022,full
8828301159fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
882830115dfffff,0.0,0.0,0.0,1317.0,9191.16,0.011998556175261634,usfs-2022,2022,partial
8828301161fffff,0.095010123651525,0.0,728.0,3162.0,,,chm-legacy,2009-2020,coverage-unknown
8828301163fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301165fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301167fffff,0.0,0.0,0.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301169fffff,0.0,0.0,0.0,0.0,57723.12,0.0753278715420528,usfs-2022,2022,partial
882830116bfffff,0.0,0.0,0.0,0.0,276568.2,0.3609677259612025,usfs-2022,2022,partial
882830116dfffff,0.0147591945169592,0.0,113.0,16335.0,,,chm-legacy,2009-2020,coverage-unknown
8828301201fffff,18.87411556467527,0.0,144480.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301203fffff,9.542235289766634,0.0,73035.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
8828301205fffff,22.56435140256019,0.0,172741.0,2690.0,,,chm-legacy,2009-2020,coverage-unknown
8828301207fffff,59.27144362097325,0.0,453689.0,0.0,,,chm-legacy,2009-2020,coverage-unknown
