h3,lidar_pct,lidar_coverage
882830132bfffff,11.8285,1.0
882830132dfffff,9.2198,1.0
8828301331fffff,10.5961,1.0
8828301333fffff,0.4919,1.0
8828301335fffff,13.8746,1.0
8828301337fffff,2.5167,1.0
8828301339fffff,37.5278,1.0
882830133bfffff,51.2272,1.0
882830133dfffff,15.4045,1.0
8828301341fffff,54.0562,1.0
8828301343fffff,48.3633,1.0
8828301345fffff,46.2166,1.0
8828301347fffff,37.6749,1.0
8828301349fffff,47.6906,1.0
882830134bfffff,31.3093,1.0
882830134dfffff,34.3933,1.0
8828301351fffff,31.9725,1.0
8828301353fffff,32.5201,1.0
8828301355fffff,50.6038,1.0
8828301357fffff,40.7142,1.0
8828301359fffff,35.785,1.0
882830135bfffff,47.2171,1.0
882830135dfffff,35.0315,1.0
8828301361fffff,27.4613,1.0
8828301363fffff,17.7278,1.0
8828301365fffff,13.7634,1.0
8828301367fffff,14.387,1.0
8828301369fffff,29.0675,1.0
882830136bfffff,22.2992,1.0
882830136dfffff,22.1874,1.0
8828301a09fffff,0.0,0.5132
8828301a41fffff,0.1731,1.0
8828301a43fffff,0.0,1.0
8828301a45fffff,0.0205,1.0
8828301a47fffff,0.0457,1.0
8828301a49fffff,0.1082,1.0
8828301a4bfffff,0.005,1.0
8828301a4dfffff,0.9339,1.0
8828301a51fffff,0.0,1.0
8828301a55fffff,0.0,0.8989
8828301a57fffff,0.0,0.2239
8828301a59fffff,0.0,1.0
8828301a5bfffff,0.0,0.8091
8828301a5dfffff,0.0,1.0
8828301a61fffff,0.0008,0.9903
8828301a65fffff,0.0,0.9423
8828301a69fffff,0.0275,1.0
8828301a6bfffff,0.0066,0.9352
8828301a6dfffff,0.0066,1.0
8828301b41fffff,0.0,0.6049
8828301b49fffff,0.0,1.0
8828301b4bfffff,0.0,1.0
8828301b4dfffff,0.0,0.8654
8828301b59fffff,0.0,0.808
8828301b5dfffff,0.0,0.6304
8828305245fffff,0.0,0.3686
8828305261fffff,17.9488,1.0
8828305263fffff,0.493,0.6147
8828305265fffff,18.7394,1.0
8828305267fffff,5.7398,0.8519
8828305269fffff,17.1559,1.0
882830526bfffff,0.0575,0.7984
882830526dfffff,9.6812,1.0
8828305341fffff,0.0286,1.0
8828305343fffff,0.0,0.9515
8828305345fffff,1.9667,1.0
8828305347fffff,6.8339,1.0
8828305349fffff,0.0,1.0
882830534bfffff,0.014,0.9831
882830534dfffff,0.3421,1.0
8828305359fffff,0.4699,0.7504
882830535bfffff,0.0138,0.4434
8828305369fffff,3.6603,1.0
882830536dfffff,2.2854,1.0
8828308801fffff,33.2993,1.0
8828308803fffff,45.6793,1.0
8828308805fffff,43.4364,1.0
8828308807fffff,40.2833,1.0
8828308809fffff,47.9842,1.0
882830880bfffff,27.712,1.0
882830880dfffff,43.2724,1.0
8828308811fffff,53.7084,1.0
8828308813fffff,61.22,1.0
8828308815fffff,43.0422,1.0
8828308817fffff,56.204,1.0
8828308819fffff,56.5662,1.0
882830881bfffff,54.1691,1.0
882830881dfffff,55.5695,1.0
8828308821fffff,34.6354,1.0
8828308823fffff,58.8735,1.0
8828308825fffff,35.4748,1.0
8828308827fffff,42.5178,1.0
8828308829fffff,48.2725,1.0
882830882bfffff,43.8741,1.0
882830882dfffff,39.0778,1.0
8828308831fffff,49.2926,1.0
8828308833fffff,41.6803,1.0
8828308835fffff,56.1653,1.0
8828308837fffff,41.9276,1.0
8828308839fffff,51.8909,1.0
882830883bfffff,54.1231,1.0
882830883dfffff,49.6306,1.0
8828308841fffff,31.151,1.0
8828308843fffff,9.126,1.0
8828308845fffff,54.5989,1.0
8828308847fffff,44.7698,1.0
8828308849fffff,26.26,1.0
882830884bfffff,35.4004,1.0
882830884dfffff,32.706,1.0
8828308851fffff,41.5657,1.0
8828308853fffff,44.6899,1.0
8828308855fffff,34.9253,1.0
8828308857fffff,34.307,1.0
8828308859fffff,29.8408,1.0
882830885bfffff,34.1432,1.0
882830885dfffff,39.539,1.0
8828308861fffff,26.4617,1.0
8828308863fffff,31.867,1.0
8828308865fffff,36.07,1.0
8828308867fffff,39.2007,1.0
8828308869fffff,48.3903,1.0
882830886bfffff,44.0348,1.0
882830886dfffff,39.8458,1.0
8828308881fffff,26.3464,1.0
8828308883fffff,38.6951,1.0
8828308885fffff,42.8342,1.0
8828308887fffff,29.8724,1.0
8828308889fffff,16.7399,1.0
882830888bfffff,30.192,1.0
