h3,canopy_pct,row_canopy_pct,row_m2,canopy_m2,assessed_m2,coverage_frac,flat_frac
8828301149fffff,5.870055793218977,1.4605241195126022,68008.0,44951.0,1248151.68,1.0,0.4956
882830114bfffff,0.40979067449329937,0.0,0.0,3138.0,1248168.96,1.0,0.9024
882830114dfffff,1.3773151352398882,0.9405029646289103,27907.0,10548.0,1248341.76,1.0,0.8733
8828301159fffff,0.0,0.0,0.0,0.0,1247990.4,1.0,1.0
882830115dfffff,0.031379932533145055,0.0,3410.0,240.0,1248186.24,1.0,0.9654
8828301161fffff,0.095010123651525,0.0,3162.0,728.0,1248877.44,1.0,0.9777
8828301163fffff,0.0,0.0,0.0,0.0,1248900.48,1.0,0.9948
8828301165fffff,0.0,0.0,0.0,0.0,1249038.72,1.0,0.9995
8828301167fffff,0.0,0.0,0.0,0.0,1249090.56,1.0,0.9996
8828301169fffff,0.008764444034411975,0.0,0.0,67.0,1248681.6,1.0,0.9931
882830116bfffff,0.01845069512993902,0.0,0.0,141.0,1248733.44,1.0,0.9943
882830116dfffff,0.014759194516959236,0.0,16335.0,113.0,1248848.64,1.0,0.9617
8828301201fffff,18.87411556467527,0.0,0.0,144480.0,1246354.56,1.0,0.6818
8828301203fffff,9.542235289766634,0.0,0.0,73035.0,1245957.12,1.0,0.8117
8828301205fffff,22.56435140256019,0.0,2690.0,172741.0,1246406.4,1.0,0.5798
8828301207fffff,59.27144362097325,0.0,0.0,453689.0,1246625.28,1.0,0.2966
8828301209fffff,9.168569658755766,38.3768352365416,8703.0,70190.0,1246037.76,1.0,0.7929
882830120bfffff,2.9398165273359473,0.0,0.0,22503.0,1245726.72,1.0,0.9092
882830120dfffff,23.047810053697354,3.6322725811636127,17268.0,176455.0,1246452.48,1.0,0.6138
8828301211fffff,26.462090358131817,9.61082910321489,61540.0,202495.0,1245985.92,1.0,0.3181
8828301213fffff,24.149840717948244,6.544502617801047,131604.0,184775.0,1245790.08,1.0,0.222
8828301215fffff,9.856988442670659,0.0,0.0,75434.0,1246959.36,1.0,0.7978
8828301217fffff,16.20219690805533,13.06511820821236,12073.0,123975.0,1245911.04,1.0,0.588
8828301219fffff,27.78168135129388,0.0,0.0,212607.0,1246037.76,1.0,0.5293
882830121bfffff,37.13100654755299,0.13966480446927373,12355.0,284116.0,1245680.64,1.0,0.3481
882830121dfffff,4.3596579174732835,0.0,0.0,33366.0,1246688.64,1.0,0.8994
8828301221fffff,19.785715935068236,0.0,0.0,151470.0,1247241.6,1.0,0.6891
8828301223fffff,5.851444838278856,7.483962936564505,7476.0,44790.0,1246412.16,1.0,0.8285
8828301225fffff,49.50180385345596,62.533796832753964,5587.0,378988.0,1246930.56,1.0,0.362
8828301227fffff,10.224601301514431,16.01281024819856,6042.0,78269.0,1247137.92,1.0,0.8153
8828301229fffff,20.918489910562496,20.427350427350426,10725.0,160153.0,1246832.64,1.0,0.6653
882830122bfffff,37.40567018646457,34.147465437788014,8231.0,286339.0,1246435.2,1.0,0.4867
882830122dfffff,17.310278223179257,46.71150971599402,8214.0,132538.0,1246515.84,1.0,0.6671
8828301231fffff,22.818280136435483,8.25451418744626,12292.0,174624.0,1246268.16,1.0,0.5733
8828301233fffff,11.30729972519225,0.0,0.0,86521.0,1247126.4,1.0,0.7157
8828301235fffff,1.1102695313221629,0.0,0.0,8497.0,1247178.24,1.0,0.947
8828301237fffff,3.313369932900793,7.497467071935157,5259.0,25355.0,1246440.96,1.0,0.9048
8828301239fffff,32.909783402512645,0.0,0.0,251870.0,1246152.96,1.0,0.5613
882830123bfffff,44.210667319497624,0.0,0.0,338312.0,1246999.68,1.0,0.3818
882830123dfffff,25.693841349618435,24.78134110787172,11889.0,196658.0,1246901.76,1.0,0.592
8828301241fffff,44.737109685529944,0.0,75.0,342556.0,1246256.64,1.0,0.4001
8828301243fffff,51.9685949572527,0.0,0.0,397872.0,1245720.96,1.0,0.3358
8828301245fffff,9.167001937634975,50.78436586014357,10662.0,70197.0,1245559.68,1.0,0.6347
8828301247fffff,13.298860454154768,40.02610398085708,15880.0,101823.0,1246475.52,1.0,0.7449
8828301249fffff,64.76415443215858,50.53050397877984,2148.0,495938.0,1246049.28,1.0,0.1049
882830124bfffff,48.20477954609575,0.0,0.0,369082.0,1245386.88,1.0,0.2523
882830124dfffff,38.57660065380934,29.61128048780488,21277.0,295425.0,1245720.96,1.0,0.3968
8828301251fffff,32.487565408723626,0.0,0.0,248672.0,1246072.32,1.0,0.586
8828301253fffff,16.52421915807282,1.0986328125,23334.0,126465.0,1246101.12,1.0,0.7452
8828301255fffff,28.259411865355176,19.12878787878788,12298.0,216324.0,1245559.68,1.0,0.6424
8828301257fffff,11.884912566083775,3.3494363929146536,17286.0,90965.0,1246417.92,1.0,0.7925
8828301259fffff,3.2213914820620233,0.0,0.0,24659.0,1245732.48,1.0,0.8855
882830125bfffff,6.388594832726987,3.0071077091306724,30655.0,48897.0,1246020.48,1.0,0.7282
882830125dfffff,33.13184195799668,0.0,0.0,253640.0,1245432.96,1.0,0.5408
8828301261fffff,21.689447078285138,23.334278423589453,15575.0,166090.0,1246544.64,1.0,0.6437
8828301263fffff,15.057420800887309,2.7210884353741496,2471.0,115288.0,1246377.6,1.0,0.7285
8828301265fffff,26.724536181535957,13.65392872477458,23167.0,204661.0,1246832.64,1.0,0.608
8828301267fffff,25.0,2.2582921665490474,7978.0,191428.0,1246371.84,1.0,0.59
8828301269fffff,34.91726849734086,37.004701141705844,10806.0,267402.0,1246596.48,1.0,0.4687
882830126bfffff,20.19315675840611,35.69421023046655,13179.0,154621.0,1245893.76,1.0,0.631
882830126dfffff,18.64132595050795,4.143269084838367,36380.0,142769.0,1246222.08,1.0,0.6929
8828301281fffff,16.884473680561012,9.21148786904414,143119.0,129123.0,1246020.48,1.0,0.2368
8828301283fffff,12.407869215849265,6.0182756811970295,196088.0,94875.0,1247270.4,1.0,0.1205
8828301285fffff,9.438977151388805,1.9859374161343997,105183.0,72189.0,1246101.12,1.0,0.2607
8828301287fffff,10.76432179831731,2.7547245275472454,112038.0,82314.0,1247374.08,1.0,0.2402
8828301289fffff,10.877123228138956,5.01029820005373,122198.0,83188.0,1245876.48,1.0,0.3668
882830128bfffff,10.695644535674493,9.791802212101498,95835.0,81788.0,1245905.28,1.0,0.459
882830128dfffff,7.299901071570558,7.304667016255899,101820.0,55833.0,1245991.68,1.0,0.4862
8828301291fffff,0.0,0.0,0.0,0.0,1245968.64,1.0,1.0
8828301293fffff,0.0,0.0,0.0,0.0,1246008.96,1.0,1.0
8828301295fffff,4.5966385000832055,4.559341950646298,70174.0,35143.0,1246072.32,1.0,0.5661
8828301297fffff,0.0,0.0,0.0,0.0,1246129.92,1.0,1.0
8828301299fffff,1.0623249105483594,5.286081963967531,27556.0,8122.0,1245991.68,1.0,0.8517
