h3,name,holc,access_min,access_km,street_m,access_src,access_snap_m,access_quality,inside_frac
8928301748bffff,Hercules NW 22,,43.1,3.44,0.0,routed,2383.0,approach-review,1.0
8928301748fffff,Bayside Apartment Homes N 16,,59.0,4.72,0.0,routed,2621.0,approach-review,1.0
89283017493ffff,Bayside Apartment Homes N 12,,54.7,4.37,0.0,routed,1956.0,approach-review,1.0
89283017497ffff,Bayside Apartment Homes NW 20,,57.0,4.56,0.0,routed,2138.0,approach-review,1.0
8928301749bffff,Bayside Apartment Homes N 13,,39.2,3.13,0.0,routed,2085.0,approach-review,1.0
892830174a3ffff,Bayside Apartment Homes NW 31,,68.3,5.47,0.0,routed,3046.0,approach-review,1.0
892830174a7ffff,Bayside Apartment Homes NW 34,,71.2,5.7,0.0,routed,3277.0,approach-review,1.0
892830174abffff,Bayside Apartment Homes N 18,,66.0,5.28,0.0,routed,3180.0,approach-review,1.0
892830174afffff,Bayside Apartment Homes N 19,,70.3,5.63,0.0,routed,3415.0,approach-review,1.0
892830174b3ffff,Bayside Apartment Homes NW 27,,64.0,5.12,0.0,routed,2701.0,approach-review,1.0
892830174b7ffff,Bayside Apartment Homes NW 29,,67.0,5.36,0.0,routed,2940.0,approach-review,1.0
892830174bbffff,Bayside Apartment Homes N 17,,63.4,5.07,0.0,routed,2858.0,approach-review,1.0
892830174c3ffff,Hercules NW 16,,45.9,3.67,0.0,routed,2006.0,approach-review,1.0
892830174c7ffff,Hercules NW 20,,49.9,3.99,0.0,routed,2320.0,approach-review,1.0
892830174cbffff,Hercules NW 17,,48.3,3.86,0.0,routed,1987.0,approach-review,1.0
892830174cfffff,Hercules NW 19,,52.1,4.16,0.0,routed,2288.0,approach-review,1.0
892830174d3ffff,Hercules NW 14,,42.4,3.4,0.0,routed,1728.0,approach-review,1.0
892830174d7ffff,Hercules NW 18,,46.2,3.7,0.0,routed,2062.0,approach-review,1.0
892830174dbffff,Hercules NW 13,,44.6,3.57,0.0,routed,1690.0,approach-review,1.0
89283017503ffff,Bayside Apartment Homes NW 51,,89.1,7.13,0.0,routed,4713.0,approach-review,1.0
89283017507ffff,Bayside Apartment Homes NW 54,,94.2,7.54,0.0,routed,4685.0,approach-review,1.0
8928301750bffff,Bayside Apartment Homes NW 52,,90.0,7.2,0.0,routed,4782.0,approach-review,1.0
8928301750fffff,Bayside Apartment Homes NW 55,,93.2,7.46,0.0,routed,5040.0,approach-review,1.0
89283017513ffff,Bayside Apartment Homes NW 46,,85.1,6.81,0.0,routed,4389.0,approach-review,1.0
89283017517ffff,Bayside Apartment Homes NW 50,,90.2,7.22,0.0,routed,4363.0,approach-review,1.0
8928301751bffff,Bayside Apartment Homes NW 48,,85.8,6.87,0.0,routed,4449.0,approach-review,1.0
89283017523ffff,Bayside Apartment Homes NW 61,,173.7,13.9,0.0,routed,5192.0,approach-review,1.0
89283017527ffff,Bayside Apartment Homes NW 65,,174.0,13.92,0.0,routed,5214.0,approach-review,1.0
8928301752bffff,Bayside Apartment Homes NW 62,,102.4,8.19,0.0,routed,5342.0,approach-review,1.0
8928301752fffff,Bayside Apartment Homes NW 66,,177.7,14.22,0.0,routed,5512.0,approach-review,1.0
89283017533ffff,Bayside Apartment Homes NW 57,,169.8,13.58,0.0,routed,4876.0,approach-review,1.0
89283017537ffff,Tara Hills Mobile Manor N 44,,169.9,13.59,0.0,routed,4888.0,approach-review,1.0
8928301753bffff,Bayside Apartment Homes NW 58,,98.3,7.86,0.0,routed,5012.0,approach-review,1.0
89283017543ffff,Hercules NW 48,,83.6,6.69,0.0,routed,4589.0,approach-review,1.0
89283017547ffff,Bayside Apartment Homes NW 53,,87.8,7.03,0.0,routed,4814.0,approach-review,1.0
8928301754bffff,Hercules NW 47,,64.7,5.17,0.0,routed,4632.0,approach-review,1.0
8928301754fffff,Hercules NW 50,,69.9,5.59,0.0,routed,4907.0,approach-review,1.0
89283017553ffff,Bayside Apartment Homes NW 45,,80.4,6.43,0.0,routed,4332.0,approach-review,1.0
89283017557ffff,Bayside Apartment Homes NW 49,,84.7,6.77,0.0,routed,4561.0,approach-review,1.0
8928301755bffff,Hercules NW 45,,79.6,6.36,0.0,routed,4264.0,approach-review,1.0
89283017563ffff,Bayside Apartment Homes NW 60,,95.2,7.62,0.0,routed,5463.0,approach-review,1.0
89283017567ffff,Bayside Apartment Homes NW 63,,102.0,8.16,0.0,routed,5637.0,approach-review,1.0
8928301756bffff,Hercules NW 54,,75.3,6.03,0.0,routed,5485.0,approach-review,1.0
8928301756fffff,Bayside Apartment Homes NW 64,,80.4,6.43,0.0,routed,5752.0,approach-review,1.0
89283017573ffff,Bayside Apartment Homes NW 56,,92.0,7.36,0.0,routed,5144.0,approach-review,1.0
89283017577ffff,Bayside Apartment Homes NW 59,,97.8,7.82,0.0,routed,5302.0,approach-review,1.0
8928301757bffff,Hercules NW 52,,91.0,7.28,0.0,routed,5179.0,approach-review,1.0
89283017583ffff,Tara Hills Mobile Manor N 34,,82.3,6.59,0.0,routed,3735.0,approach-review,1.0
89283017587ffff,Tara Hills Mobile Manor N 36,,151.6,12.13,0.0,routed,3916.0,approach-review,1.0
8928301758bffff,Bayside Apartment Homes NW 42,,81.1,6.49,0.0,routed,4071.0,approach-review,1.0
8928301758fffff,Bayside Apartment Homes NW 47,,86.2,6.9,0.0,routed,4045.0,approach-review,1.0
89283017593ffff,Tara Hills Mobile Manor N 32,,78.6,6.29,0.0,routed,3432.0,approach-review,1.0
89283017597ffff,Tara Hills Mobile Manor N 33,,147.0,11.76,0.0,routed,3619.0,approach-review,1.0
8928301759bffff,Bayside Apartment Homes NW 39,,77.5,6.2,0.0,routed,3680.0,approach-review,1.0
892830175a3ffff,Tara Hills Mobile Manor N 39,,161.9,12.96,0.0,routed,4250.0,approach-review,1.0
892830175a7ffff,Tara Hills Mobile Manor N 41,,162.1,12.97,0.0,routed,4265.0,approach-review,1.0
892830175abffff,Tara Hills Mobile Manor N 40,,165.9,13.27,0.0,routed,4566.0,approach-review,1.0
892830175afffff,Tara Hills Mobile Manor N 42,,165.9,13.27,0.0,routed,4566.0,approach-review,1.0
892830175b3ffff,Tara Hills Mobile Manor N 37,,158.1,12.65,0.0,routed,3940.0,approach-review,1.0
892830175b7ffff,Tara Hills Mobile Manor NW 102,,158.1,12.65,0.0,routed,3942.0,approach-review,1.0
892830175bbffff,Tara Hills Mobile Manor N 38,,155.9,12.47,0.0,routed,4260.0,approach-review,1.0
892830175c3ffff,Bayside Apartment Homes NW 40,,78.5,6.28,0.0,routed,3861.0,approach-review,1.0
892830175c7ffff,Bayside Apartment Homes NW 43,,81.7,6.54,0.0,routed,4119.0,approach-review,1.0
892830175cbffff,Bayside Apartment Homes NW 41,,77.5,6.2,0.0,routed,3984.0,approach-review,1.0
892830175cfffff,Bayside Apartment Homes NW 44,,82.7,6.62,0.0,routed,4197.0,approach-review,1.0
892830175d3ffff,Bayside Apartment Homes NW 36,,74.3,5.95,0.0,routed,3528.0,approach-review,1.0
892830175d7ffff,Bayside Apartment Homes NW 38,,77.6,6.21,0.0,routed,3793.0,approach-review,1.0
892830175dbffff,Bayside Apartment Homes NW 37,,75.5,6.04,0.0,routed,3618.0,approach-review,1.0
89283017603ffff,Bayo Vista NW 21,,30.7,2.46,0.0,routed,2084.0,approach-review,1.0
89283017607ffff,Bayo Vista NW 27,,34.7,2.78,0.0,routed,2406.0,approach-review,1.0
8928301760bffff,Bayo Vista NW 20,,31.2,2.5,0.0,routed,2027.0,approach-review,1.0
8928301760fffff,Bayo Vista NW 26,,34.3,2.75,0.0,routed,2355.0,approach-review,1.0
89283017613ffff,Bayo Vista NW 17,,27.3,2.19,0.0,routed,1882.0,approach-review,1.0
89283017617ffff,Bayo Vista NW 23,,31.6,2.53,0.0,routed,2154.0,approach-review,1.0
8928301761bffff,Bayo Vista NW 16,,26.8,2.15,0.0,routed,1772.0,approach-review,1.0
89283017623ffff,Bayo Vista NW 39,,42.2,3.37,0.0,routed,2982.0,approach-review,1.0
89283017627ffff,Bayo Vista NW 45,,46.2,3.7,0.0,routed,3306.0,approach-review,1.0
8928301762bffff,Bayo Vista NW 37,,43.7,3.49,0.0,routed,2810.0,approach-review,1.0
8928301762fffff,Bayo Vista NW 43,,46.3,3.71,0.0,routed,3219.0,approach-review,1.0
89283017633ffff,Bayo Vista NW 34,,38.8,3.11,0.0,routed,2734.0,approach-review,1.0
89283017637ffff,Bayo Vista NW 41,,43.0,3.44,0.0,routed,3067.0,approach-review,1.0
8928301763bffff,Bayo Vista NW 32,,38.2,3.06,0.0,routed,2664.0,approach-review,1.0
89283017643ffff,Bayo Vista NW 14,,41.4,3.31,0.0,routed,1497.0,approach-review,0.454
89283017647ffff,Bayo Vista NW 19,,45.8,3.66,0.0,routed,1844.0,approach-review,1.0
8928301764fffff,Bayo Vista NW 18,,44.1,3.53,0.0,routed,1712.0,approach-review,0.463
89283017653ffff,Bayo Vista NW 11,,38.4,3.07,0.0,routed,1394.0,approach-review,0.445
89283017657ffff,Bayo Vista NW 15,,29.3,2.34,0.0,routed,1659.0,approach-review,1.0
89283017663ffff,Bayo Vista NW 29,,52.6,4.21,0.0,routed,2393.0,approach-review,1.0
89283017667ffff,Bayo Vista NW 36,,56.9,4.55,0.0,routed,2736.0,approach-review,0.906
8928301766bffff,Bayo Vista NW 28,,51.4,4.11,0.0,routed,2294.0,approach-review,0.313
8928301766fffff,Bayo Vista NW 35,,55.5,4.44,0.0,routed,2625.0,approach-review,0.09
89283017673ffff,Bayo Vista NW 25,,50.1,4.01,0.0,routed,2192.0,approach-review,1.0
89283017677ffff,Bayo Vista NW 30,,40.0,3.2,0.0,routed,2520.0,approach-review,1.0
8928301767bffff,Bayo Vista NW 22,,48.4,3.87,0.0,routed,2051.0,approach-review,1.0
89283017683ffff,Rodeo NW 6,,26.7,2.13,0.0,routed,1759.0,approach-review,1.0
89283017687ffff,Rodeo NW 7,,31.0,2.48,0.0,routed,2107.0,approach-review,1.0
8928301768bffff,Bayo Vista W 7,,24.5,1.96,0.0,routed,1589.0,approach-review,1.0
8928301768fffff,Bayo Vista W 8,,28.8,2.31,0.0,routed,1934.0,approach-review,1.0
89283017693ffff,Rodeo W 11,,24.9,1.99,0.0,routed,1617.0,approach-review,1.0
89283017697ffff,Rodeo W 12,,29.3,2.34,0.0,routed,1963.0,approach-review,1.0
8928301769bffff,Rodeo NW 5,,22.3,1.78,0.0,routed,1411.0,approach-review,1.0
892830176a3ffff,Bayo Vista NW 33,,37.5,3.0,0.0,routed,2628.0,approach-review,1.0
892830176a7ffff,Bayo Vista NW 40,,41.9,3.35,0.0,routed,2975.0,approach-review,1.0
892830176abffff,Bayo Vista NW 31,,35.8,2.87,0.0,routed,2493.0,approach-review,1.0
892830176afffff,Bayo Vista NW 38,,40.1,3.21,0.0,routed,2834.0,approach-review,1.0
892830176b3ffff,Rodeo NW 8,,35.4,2.83,0.0,routed,2455.0,approach-review,1.0
892830176b7ffff,Rodeo NW 9,,39.7,3.18,0.0,routed,2804.0,approach-review,1.0
892830176bbffff,Bayo Vista W 9,,33.2,2.65,0.0,routed,2281.0,approach-review,1.0
892830176c3ffff,Bayo Vista NW 10,,19.3,1.54,0.0,routed,1238.0,approach-review,1.0
892830176c7ffff,Bayo Vista NW 13,,23.2,1.86,0.0,routed,1554.0,approach-review,1.0
892830176cbffff,Bayo Vista NW 9,,19.8,1.58,0.0,routed,1211.0,approach-review,0.434
892830176cfffff,Bayo Vista NW 12,,23.1,1.85,0.0,routed,1477.0,approach-review,1.0
892830176d3ffff,Bayo Vista W 5,,16.0,1.28,0.0,routed,905.0,approach-review,1.0
892830176d7ffff,Bayo Vista W 6,,20.2,1.62,0.0,routed,1245.0,approach-review,1.0
892830176dbffff,Bayo Vista NW 7,,15.7,1.25,0.0,routed,879.0,approach-review,0.449
89283088937ffff,Carriage Hills South SW 17,,77.5,6.2,0.0,routed,730.0,approach-review,0.232
89283088983ffff,Kensington NE 15,,69.9,5.59,0.0,routed,408.0,approach-review,0.802
89283088987ffff,Kensington NE 14,,73.2,5.86,0.0,routed,603.0,approach-review,1.0
8928308898fffff,Kensington NE 20,,76.3,6.1,0.0,routed,477.0,approach-review,0.221
89283088993ffff,Kensington NE 13,,62.5,5.0,0.0,routed,360.0,approach-review,0.276
89283088997ffff,Kensington NE 10,,68.7,5.5,0.0,routed,316.0,approach-review,0.692
8928308899bffff,Kensington NE 19,,66.3,5.3,0.0,routed,445.0,approach-review,0.191
892830889a3ffff,Kensington NE 17,,83.9,6.71,0.0,routed,786.0,approach-review,1.0
892830889a7ffff,Kensington NE 16,,86.3,6.9,0.0,routed,1048.0,approach-review,1.0
892830889abffff,Kensington NE 22,,87.4,6.99,0.0,routed,478.0,approach-review,0.227
892830889afffff,Kensington NE 21,,88.6,7.09,0.0,routed,725.0,approach-review,0.808
892830889b3ffff,Kensington NE 12,,78.2,6.26,0.0,routed,691.0,approach-review,1.0
892830889b7ffff,Kensington NE 11,,81.6,6.53,0.0,routed,960.0,approach-review,1.0
892830889bbffff,Kensington NE 18,,82.8,6.62,0.0,routed,717.0,approach-review,0.808
89283088da7ffff,Kensington E 4,,35.7,2.85,504.0,routed,243.0,approach-review,0.552
89283088db7ffff,Cragmont N,,32.2,2.57,657.0,routed,144.0,approach-review,0.377
8928308c003ffff,Triangle Court E 2,,20.8,1.66,1787.0,routed,92.0,network-estimate,1.0
8928308c007ffff,Triangle Court E,,20.3,1.63,1250.0,routed,132.0,approach-review,1.0
8928308c00bffff,Triangle Court E 3,,23.1,1.84,2151.0,routed,128.0,approach-review,1.0
8928308c00fffff,Triangle Court NE 2,,24.7,1.97,2174.0,routed,170.0,approach-review,1.0
8928308c013ffff,Triangle Court SE 2,,19.7,1.58,2229.0,routed,129.0,approach-review,1.0
8928308c017ffff,Triangle Court SE,,17.9,1.43,1544.0,routed,99.0,network-estimate,1.0
8928308c01bffff,Triangle Court E 4,,18.4,1.47,2008.0,routed,153.0,approach-review,1.0
8928308c023ffff,Triangle Court N,,24.9,1.99,923.0,routed,187.0,approach-review,1.0
8928308c027ffff,North Richmond S 2,,27.5,2.2,2102.0,routed,120.0,approach-review,1.0
8928308c02bffff,Triangle Court N 2,,27.2,2.18,803.0,routed,99.0,network-estimate,1.0
8928308c02fffff,North Richmond SE 2,,30.3,2.43,1507.0,routed,71.0,network-estimate,1.0
8928308c033ffff,Triangle Court,,18.9,1.52,525.0,routed,113.0,approach-review,1.0
8928308c037ffff,Triangle Court NW,,21.5,1.72,1511.0,routed,137.0,approach-review,1.0
8928308c03bffff,Triangle Court NE,,25.4,2.03,776.0,routed,120.0,approach-review,1.0
8928308c043ffff,Triangle Court E 7,,20.3,1.62,1992.0,routed,148.0,approach-review,1.0
8928308c047ffff,Triangle Court E 6,,19.4,1.55,1536.0,routed,42.0,network-estimate,1.0
8928308c04bffff,San Pablo S 6,,16.2,1.3,1716.0,routed,135.0,approach-review,1.0
8928308c04fffff,San Pablo S 5,,12.5,1.0,578.0,routed,141.0,approach-review,1.0
8928308c053ffff,Wendell Park,,16.2,1.29,2083.0,routed,112.0,approach-review,1.0
8928308c057ffff,Triangle Court E 5,,17.9,1.43,1828.0,routed,25.0,network-estimate,1.0
8928308c05bffff,Richmond NE 7,,18.9,1.51,1808.0,routed,122.0,approach-review,1.0
8928308c063ffff,Triangle Court NE 6,,18.3,1.46,1857.0,routed,47.0,network-estimate,1.0
8928308c067ffff,Triangle Court NE 5,,21.1,1.69,2009.0,routed,119.0,approach-review,1.0
8928308c06bffff,San Pablo S 2,,12.2,0.97,2142.0,routed,67.0,network-estimate,1.0
8928308c06fffff,San Pablo SW 2,,15.9,1.27,1947.0,routed,66.0,network-estimate,1.0
8928308c073ffff,Triangle Court NE 4,,21.3,1.71,1698.0,routed,116.0,approach-review,1.0
8928308c077ffff,Triangle Court NE 3,,24.5,1.96,1334.0,routed,117.0,approach-review,1.0
8928308c07bffff,San Pablo S 4,,15.9,1.27,1675.0,routed,60.0,network-estimate,1.0
8928308c083ffff,Barrett Terrace Plaza Apartments E,,9.1,0.73,1570.0,routed,52.0,network-estimate,1.0
8928308c087ffff,Barrett Terrace Plaza Apartments NE,,5.9,0.47,2504.0,routed,58.0,network-estimate,1.0
8928308c08bffff,Barrett Terrace Plaza Apartments E 2,,14.6,1.17,1914.0,routed,190.0,approach-review,1.0
8928308c08fffff,Barrett Terrace Plaza Apartments NE 2,,12.4,0.99,1626.0,routed,151.0,approach-review,1.0
8928308c093ffff,Barrett Terrace Plaza Apartments SE 2,,9.6,0.77,1685.0,routed,14.0,network-estimate,1.0
8928308c097ffff,Barrett Terrace Plaza Apartments SE,,4.3,0.34,2153.0,routed,54.0,network-estimate,1.0
8928308c09bffff,Richmond W 2,,11.6,0.93,1328.0,routed,15.0,network-estimate,1.0
8928308c0a3ffff,Triangle Court SW 2,,11.9,0.95,1295.0,routed,154.0,approach-review,1.0
8928308c0a7ffff,Triangle Court W 3,,24.3,1.94,1162.0,routed,30.0,network-estimate,1.0
8928308c0abffff,Triangle Court SW,,15.1,1.21,1921.0,routed,66.0,network-estimate,1.0
8928308c0afffff,Triangle Court W,,19.3,1.54,871.0,routed,47.0,network-estimate,1.0
8928308c0b3ffff,Iron Triangle,,7.3,0.58,1740.0,routed,87.0,network-estimate,1.0
8928308c0b7ffff,Iron Triangle NW,,12.8,1.02,852.0,routed,110.0,approach-review,1.0
8928308c0bbffff,Iron Triangle NE,,10.1,0.81,2323.0,routed,38.0,network-estimate,1.0
8928308c0c3ffff,Richmond N,,9.3,0.74,1900.0,routed,25.0,network-estimate,1.0
8928308c0c7ffff,Richmond N 2,,14.0,1.12,1966.0,routed,107.0,approach-review,1.0
8928308c0cbffff,Richmond NE 2,,9.4,0.76,2082.0,routed,103.0,approach-review,1.0
8928308c0cfffff,Richmond N 3,,13.4,1.07,2050.0,routed,83.0,network-estimate,1.0
8928308c0d3ffff,Richmond,,4.0,0.32,1958.0,routed,32.0,network-estimate,1.0
8928308c0d7ffff,Richmond NW,,9.7,0.78,2115.0,routed,25.0,network-estimate,1.0
8928308c0dbffff,Richmond NE,,5.6,0.45,1996.0,routed,118.0,approach-review,1.0
8928308c103ffff,North Richmond W 5,,45.8,3.66,0.0,routed,153.0,approach-review,1.0
8928308c107ffff,North Richmond W 7,,49.0,3.92,0.0,routed,379.0,approach-review,1.0
8928308c10bffff,North Richmond W 2,,42.1,3.37,0.0,routed,67.0,network-estimate,1.0
8928308c10fffff,North Richmond W 4,,46.3,3.71,0.0,routed,242.0,approach-review,1.0
8928308c113ffff,North Richmond SW 6,,42.0,3.36,0.0,routed,113.0,approach-review,1.0
8928308c117ffff,North Richmond W 9,,44.3,3.54,0.0,routed,330.0,approach-review,1.0
8928308c11bffff,North Richmond SW 4,,37.2,2.98,330.0,routed,33.0,network-estimate,1.0
8928308c123ffff,North Richmond W 13,,70.3,5.63,0.0,routed,519.0,approach-review,1.0
8928308c127ffff,North Richmond W 18,,72.7,5.81,0.0,routed,365.0,approach-review,1.0
8928308c12bffff,North Richmond W 10,,66.1,5.29,0.0,routed,359.0,approach-review,1.0
8928308c12fffff,North Richmond W 14,,66.8,5.35,0.0,routed,238.0,approach-review,1.0
8928308c133ffff,North Richmond W 11,,53.1,4.25,0.0,routed,715.0,approach-review,1.0
8928308c137ffff,North Richmond W 16,,57.2,4.58,0.0,routed,722.0,approach-review,1.0
8928308c13bffff,North Richmond W 8,,50.9,4.07,0.0,routed,539.0,approach-review,1.0
8928308c143ffff,North Richmond SW,,34.7,2.77,2246.0,routed,86.0,network-estimate,1.0
8928308c147ffff,North Richmond W,,41.9,3.35,183.0,routed,104.0,approach-review,1.0
8928308c14bffff,North Richmond,,33.4,2.68,1502.0,routed,132.0,approach-review,1.0
8928308c14fffff,North Richmond NW,,44.9,3.6,52.0,routed,119.0,approach-review,1.0
8928308c153ffff,North Richmond S,,30.2,2.41,1959.0,routed,92.0,network-estimate,1.0
8928308c157ffff,North Richmond SW 2,,36.3,2.9,1484.0,routed,111.0,approach-review,1.0
8928308c15bffff,North Richmond SE,,31.4,2.51,2153.0,routed,118.0,approach-review,1.0
8928308c163ffff,North Richmond NW 4,,50.1,4.01,470.0,routed,187.0,approach-review,1.0
8928308c167ffff,North Richmond NW 7,,57.4,4.59,0.0,routed,203.0,approach-review,1.0
8928308c16bffff,North Richmond NW 3,,43.9,3.51,0.0,routed,148.0,approach-review,1.0
8928308c16fffff,North Richmond NW 5,,55.1,4.41,272.0,routed,85.0,network-estimate,1.0
8928308c173ffff,North Richmond W 3,,53.0,4.24,490.0,routed,46.0,network-estimate,1.0
8928308c177ffff,North Richmond W 6,,53.9,4.31,0.0,routed,366.0,approach-review,1.0
8928308c17bffff,North Richmond NW 2,,46.3,3.71,329.0,routed,84.0,network-estimate,1.0
8928308c183ffff,Atchison Village NW 13,,35.8,2.86,0.0,routed,244.0,approach-review,1.0
8928308c187ffff,Atchison Village NW 17,,40.5,3.24,0.0,routed,307.0,approach-review,1.0
8928308c18bffff,North Richmond SW 7,,38.1,3.05,0.0,routed,204.0,approach-review,1.0
8928308c18fffff,North Richmond SW 8,,42.8,3.42,0.0,routed,211.0,approach-review,1.0
8928308c193ffff,Atchison Village NW 9,,32.4,2.6,0.0,routed,191.0,approach-review,1.0
8928308c197ffff,Atchison Village NW 14,,36.1,2.89,0.0,routed,159.0,approach-review,1.0
8928308c19bffff,Atchison Village NW 10,,33.0,2.64,400.0,routed,236.0,approach-review,1.0
8928308c1a3ffff,North Richmond W 17,,48.3,3.87,0.0,routed,198.0,approach-review,1.0
8928308c1a7ffff,North Richmond W 22,,51.6,4.13,0.0,routed,498.0,approach-review,1.0
8928308c1abffff,North Richmond W 12,,48.7,3.9,0.0,routed,476.0,approach-review,1.0
8928308c1afffff,North Richmond W 15,,51.9,4.15,0.0,routed,486.0,approach-review,1.0
8928308c1b3ffff,Atchison Village NW 20,,43.8,3.5,0.0,routed,519.0,approach-review,1.0
8928308c1b7ffff,North Richmond W 24,,46.1,3.69,0.0,routed,397.0,approach-review,1.0
8928308c1bbffff,North Richmond SW 9,,46.5,3.72,0.0,routed,507.0,approach-review,1.0
8928308c1c3ffff,Triangle Court W 5,,28.4,2.27,41.0,routed,179.0,approach-review,1.0
8928308c1c7ffff,North Richmond SW 5,,39.2,3.13,0.0,routed,75.0,network-estimate,1.0
8928308c1cbffff,Triangle Court NW 2,,25.7,2.06,1867.0,routed,121.0,approach-review,1.0
8928308c1cfffff,North Richmond SW 3,,30.7,2.46,644.0,routed,164.0,approach-review,1.0
8928308c1d3ffff,Triangle Court W 4,,28.6,2.29,184.0,routed,191.0,approach-review,1.0
8928308c1d7ffff,Triangle Court W 6,,33.6,2.69,148.0,routed,287.0,approach-review,1.0
8928308c1dbffff,Triangle Court W 2,,23.4,1.88,408.0,routed,81.0,network-estimate,1.0
8928308c203ffff,San Pablo E 7,,12.0,0.96,349.0,routed,129.0,approach-review,1.0
8928308c207ffff,San Pablo E 4,,10.0,0.8,107.0,routed,82.0,network-estimate,1.0
8928308c20bffff,San Pablo E 8,,23.1,1.85,238.0,routed,41.0,network-estimate,1.0
8928308c20fffff,San Pablo E 5,,15.0,1.2,1226.0,routed,55.0,network-estimate,1.0
8928308c213ffff,San Pablo SE 9,,13.0,1.04,195.0,routed,28.0,network-estimate,1.0
8928308c217ffff,San Pablo SE 6,,8.4,0.67,1313.0,routed,154.0,approach-review,1.0
8928308c21bffff,San Pablo E 9,,22.4,1.79,939.0,routed,127.0,approach-review,1.0
8928308c223ffff,San Pablo NE 2,,13.6,1.09,1828.0,routed,48.0,network-estimate,1.0
8928308c227ffff,San Pablo NE,,17.7,1.41,1263.0,routed,129.0,approach-review,1.0
8928308c22bffff,San Pablo NE 4,,16.5,1.32,1457.0,routed,78.0,network-estimate,1.0
8928308c22fffff,San Pablo NE 3,,18.7,1.5,916.0,routed,63.0,network-estimate,1.0
8928308c233ffff,San Pablo E 2,,7.8,0.63,959.0,routed,94.0,network-estimate,1.0
8928308c237ffff,San Pablo E,,14.3,1.14,1440.0,routed,38.0,network-estimate,1.0
8928308c23bffff,San Pablo E 3,,11.9,0.95,2092.0,routed,125.0,approach-review,1.0
8928308c243ffff,The Tides S 12,,17.4,1.39,297.0,routed,140.0,approach-review,1.0
8928308c247ffff,The Tides S 11,,18.3,1.47,144.0,routed,61.0,network-estimate,1.0
8928308c24bffff,The Tides S 9,,11.8,0.94,295.0,routed,53.0,network-estimate,1.0
8928308c24fffff,The Tides S 8,,15.2,1.22,1127.0,routed,102.0,approach-review,1.0
8928308c253ffff,East Richmond Heights N 10,,22.3,1.79,1201.0,routed,81.0,network-estimate,1.0
8928308c257ffff,East Richmond Heights NW 7,,23.7,1.9,721.0,routed,189.0,approach-review,1.0
8928308c25bffff,East Richmond Heights N 11,,15.7,1.25,773.0,routed,88.0,network-estimate,1.0
8928308c263ffff,The Tides SW 6,,22.7,1.81,1513.0,routed,121.0,approach-review,1.0
8928308c267ffff,The Tides SW 7,,22.6,1.81,941.0,routed,65.0,network-estimate,1.0
8928308c26bffff,The Tides S 4,,28.5,2.28,1011.0,routed,32.0,network-estimate,1.0
8928308c26fffff,The Tides SW 4,,28.9,2.31,794.0,routed,100.0,network-estimate,1.0
8928308c273ffff,The Tides S 10,,19.4,1.55,1545.0,routed,216.0,approach-review,1.0
8928308c277ffff,San Pablo E 6,,17.5,1.4,1798.0,routed,135.0,approach-review,1.0
8928308c27bffff,The Tides S 7,,20.0,1.6,1228.0,routed,229.0,approach-review,1.0
8928308c283ffff,East Richmond NW 9,,13.4,1.07,1187.0,routed,58.0,network-estimate,1.0
8928308c287ffff,San Pablo SE 7,,11.3,0.9,1311.0,routed,66.0,network-estimate,1.0
8928308c28bffff,East Richmond NW 8,,14.4,1.15,1134.0,routed,70.0,network-estimate,1.0
8928308c28fffff,San Pablo SE 8,,8.7,0.7,163.0,routed,29.0,network-estimate,1.0
8928308c293ffff,East Richmond NW 7,,18.6,1.49,2030.0,routed,86.0,network-estimate,1.0
8928308c297ffff,San Pablo SE 10,,17.3,1.39,2070.0,routed,85.0,network-estimate,1.0
8928308c29bffff,East Richmond NW 6,,16.8,1.34,1326.0,routed,61.0,network-estimate,1.0
8928308c2a3ffff,San Pablo SE 2,,3.1,0.25,1242.0,routed,17.0,network-estimate,1.0
8928308c2a7ffff,San Pablo S,,6.5,0.52,1606.0,routed,138.0,approach-review,1.0
8928308c2abffff,San Pablo SE 3,,3.8,0.3,728.0,routed,59.0,network-estimate,1.0
8928308c2afffff,San Pablo SE,,4.5,0.36,428.0,routed,43.0,network-estimate,1.0
8928308c2b3ffff,San Pablo SE 5,,14.2,1.13,406.0,routed,72.0,network-estimate,1.0
8928308c2b7ffff,San Pablo S 3,,8.6,0.68,2439.0,routed,123.0,approach-review,1.0
8928308c2bbffff,San Pablo SE 4,,5.0,0.4,1086.0,routed,75.0,network-estimate,1.0
8928308c2c3ffff,East Richmond Heights NW 4,,26.8,2.14,764.0,routed,128.0,approach-review,1.0
8928308c2c7ffff,East Richmond N 4,,20.3,1.62,1636.0,routed,100.0,network-estimate,1.0
8928308c2cbffff,East Richmond Heights NW 5,,28.4,2.28,806.0,routed,93.0,network-estimate,1.0
8928308c2cfffff,East Richmond Heights NW 6,,26.1,2.09,1496.0,routed,112.0,approach-review,1.0
8928308c2d3ffff,East Richmond N 3,,27.2,2.18,1801.0,routed,103.0,approach-review,1.0
8928308c2d7ffff,East Richmond NW 5,,20.2,1.61,1015.0,routed,103.0,approach-review,1.0
8928308c2dbffff,East Richmond Heights NW 3,,32.7,2.62,793.0,routed,56.0,network-estimate,1.0
8928308c303ffff,San Pablo NW 4,,27.8,2.23,1449.0,routed,54.0,network-estimate,1.0
