h3,name,holc,access_min,access_km,street_m,access_src,access_snap_m,access_quality,inside_frac
89283010d9bffff,Bayo Vista N 14,,34.7,2.77,0.0,routed,680.0,approach-review,1.0
89283010db7ffff,Bayo Vista NW 24,,47.3,3.78,0.0,routed,1968.0,approach-review,0.322
89283010dc3ffff,Bayo Vista N 21,,43.3,3.46,0.0,routed,627.0,approach-review,0.128
89283010dd3ffff,Bayo Vista N 16,,42.3,3.39,0.0,routed,547.0,approach-review,1.0
89283010dd7ffff,Bayo Vista N 18,,37.0,2.96,0.0,routed,813.0,approach-review,0.785
89283010ddbffff,Carquinez Highlands Mobile Home Park SW 2,,40.8,3.26,0.0,routed,678.0,approach-review,0.606
89283010e93ffff,Crockett NE 2,,6.2,0.49,293.0,routed,172.0,approach-review,0.497
89283010e97ffff,Crockett N,,5.3,0.42,0.0,routed,255.0,approach-review,0.089
89283012103ffff,Carriage Hills North NE 10,,26.9,2.16,827.0,routed,247.0,approach-review,1.0
89283012107ffff,Carriage Hills North NE 9,,21.3,1.7,663.0,routed,157.0,approach-review,1.0
8928301210bffff,Carriage Hills North NE 14,,26.6,2.13,1395.0,routed,156.0,approach-review,0.852
8928301210fffff,Carriage Hills North NE 13,,21.7,1.74,1331.0,routed,116.0,approach-review,1.0
89283012113ffff,Carriage Hills North NE 8,,31.5,2.52,0.0,routed,483.0,approach-review,0.558
89283012117ffff,Carriage Hills North NE 7,,26.7,2.14,0.0,routed,397.0,approach-review,1.0
8928301211bffff,Carriage Hills North NE 11,,32.7,2.61,0.0,routed,344.0,approach-review,0.312
89283012123ffff,Carriage Hills North N 26,,12.0,0.96,1892.0,routed,96.0,network-estimate,1.0
89283012127ffff,Valley Oak Villas SE 24,,8.0,0.64,2142.0,routed,73.0,network-estimate,1.0
8928301212bffff,Valley Oak Villas E 32,,17.4,1.39,664.0,routed,289.0,approach-review,1.0
8928301212fffff,Valley Oak Villas E 28,,13.1,1.05,1555.0,routed,138.0,approach-review,1.0
89283012133ffff,Carriage Hills North N 24,,16.3,1.3,223.0,routed,228.0,approach-review,1.0
89283012137ffff,Carriage Hills North N 25,,12.3,0.99,206.0,routed,194.0,approach-review,1.0
8928301213bffff,Carriage Hills North NE 12,,16.5,1.32,1667.0,routed,54.0,network-estimate,1.0
89283012147ffff,Carriage Hills North NE 17,,28.2,2.25,0.0,routed,320.0,approach-review,0.076
8928301214fffff,Carriage Hills North NE 20,,37.4,2.99,0.0,routed,210.0,approach-review,0.0
89283012163ffff,Carriage Hills North NE 18,,26.4,2.11,0.0,routed,480.0,approach-review,0.896
89283012167ffff,Valley Oak Villas E 35,,21.8,1.75,25.0,routed,402.0,approach-review,1.0
8928301216bffff,Carriage Hills North NE 21,,31.7,2.54,0.0,routed,310.0,approach-review,1.0
8928301216fffff,Valley Oak Villas E 38,,27.5,2.2,0.0,routed,526.0,approach-review,1.0
89283012173ffff,Carriage Hills North NE 16,,24.1,1.93,755.0,routed,285.0,approach-review,0.429
89283012177ffff,Carriage Hills North NE 15,,21.5,1.72,0.0,routed,239.0,approach-review,1.0
8928301217bffff,Carriage Hills North NE 19,,39.1,3.12,0.0,routed,339.0,approach-review,0.35
89283012187ffff,Carriage Hills North NE 3,,35.0,2.8,0.0,routed,553.0,approach-review,0.118
8928301218fffff,Carriage Hills North NE 5,,34.9,2.79,0.0,routed,709.0,approach-review,0.765
892830121a3ffff,Carriage Hills North N 17,,27.0,2.16,0.0,routed,126.0,approach-review,1.0
892830121a7ffff,Carriage Hills North N 18,,29.2,2.33,77.0,routed,234.0,approach-review,1.0
892830121abffff,Carriage Hills North NE 6,,21.0,1.68,0.0,routed,337.0,approach-review,1.0
892830121afffff,Carriage Hills North N 22,,18.8,1.5,0.0,routed,515.0,approach-review,1.0
892830121b3ffff,Carriage Hills North NE 2,,31.7,2.54,41.0,routed,289.0,approach-review,0.916
892830121b7ffff,Carriage Hills North N 12,,31.4,2.51,577.0,routed,300.0,approach-review,0.968
892830121bbffff,Carriage Hills North NE 4,,30.5,2.44,0.0,routed,406.0,approach-review,1.0
89283012303ffff,Carriage Hills North NE 33,,66.1,5.29,0.0,routed,505.0,approach-review,0.587
89283012307ffff,Carriage Hills North NE 32,,57.8,4.63,0.0,routed,292.0,approach-review,1.0
8928301230fffff,Crockett S 4,,68.6,5.49,0.0,routed,277.0,approach-review,0.633
89283012313ffff,Carriage Hills North NE 31,,68.2,5.46,0.0,routed,367.0,approach-review,0.537
89283012317ffff,Carriage Hills North NE 30,,60.4,4.83,0.0,routed,496.0,approach-review,1.0
