h3,land,land_frac,wc_code
8929aeb1153ffff,grassland,0.822,30
8929aeb1157ffff,developed,0.48,50
8929aeb115bffff,grassland,0.6,30
8929aeb1163ffff,developed,0.946,50
8929aeb1167ffff,developed,0.705,50
8929aeb116bffff,developed,0.868,50
8929aeb116fffff,developed,0.9,50
8929aeb1173ffff,developed,0.763,50
8929aeb1177ffff,developed,0.929,50
8929aeb117bffff,developed,0.676,50
8929aeb1183ffff,developed,0.948,50
8929aeb1187ffff,developed,0.824,50
8929aeb118bffff,developed,0.498,50
8929aeb118fffff,developed,0.65,50
8929aeb1193ffff,developed,0.837,50
8929aeb1197ffff,developed,0.948,50
8929aeb119bffff,developed,0.914,50
8929aeb11a7ffff,developed,0.555,50
8929aeb11c3ffff,grassland,0.647,30
8929aeb11c7ffff,developed,0.568,50
8929aeb11cbffff,grassland,0.998,30
8929aeb11cfffff,grassland,0.505,30
8929aeb11d3ffff,grassland,0.453,30
8929aeb11d7ffff,developed,0.665,50
8929aeb11dbffff,grassland,0.975,30
8929aeb1203ffff,developed,0.849,50
8929aeb1207ffff,grassland,0.579,30
8929aeb120bffff,developed,0.702,50
8929aeb120fffff,bare ground,0.455,60
8929aeb1213ffff,developed,0.987,50
8929aeb1217ffff,developed,0.517,50
8929aeb121bffff,developed,0.578,50
8929aeb1223ffff,grassland,0.361,30
8929aeb1227ffff,grassland,0.596,30
8929aeb122bffff,developed,0.606,50
8929aeb122fffff,developed,0.645,50
8929aeb1233ffff,grassland,0.428,30
8929aeb1237ffff,grassland,0.804,30
8929aeb123bffff,grassland,0.718,30
8929aeb1243ffff,grassland,1.0,30
8929aeb1247ffff,grassland,0.999,30
8929aeb124bffff,grassland,0.81,30
8929aeb124fffff,grassland,1.0,30
8929aeb1253ffff,grassland,0.842,30
8929aeb1257ffff,grassland,0.992,30
8929aeb125bffff,grassland,1.0,30
8929aeb1263ffff,grassland,0.842,30
8929aeb1267ffff,grassland,0.817,30
8929aeb126bffff,grassland,0.992,30
8929aeb126fffff,grassland,0.511,30
8929aeb1273ffff,grassland,0.51,30
8929aeb1277ffff,grassland,0.978,30
8929aeb127bffff,grassland,0.805,30
8929aeb1283ffff,grassland,0.905,30
8929aeb1287ffff,grassland,1.0,30
8929aeb128bffff,developed,0.574,50
8929aeb128fffff,grassland,0.674,30
8929aeb1293ffff,grassland,1.0,30
8929aeb1297ffff,grassland,1.0,30
8929aeb129bffff,grassland,1.0,30
8929aeb12a3ffff,developed,0.597,50
8929aeb12a7ffff,grassland,0.709,30
8929aeb12abffff,grassland,0.43,30
8929aeb12afffff,bare ground,0.586,60
8929aeb12b3ffff,grassland,0.515,30
8929aeb12b7ffff,grassland,0.743,30
8929aeb12bbffff,grassland,0.534,30
8929aeb12c3ffff,grassland,1.0,30
8929aeb12c7ffff,developed,0.672,50
8929aeb12cbffff,grassland,0.95,30
8929aeb12cfffff,grassland,0.887,30
8929aeb12d3ffff,grassland,1.0,30
8929aeb12d7ffff,grassland,0.872,30
8929aeb12dbffff,grassland,1.0,30
8929aeb1303ffff,grassland,0.993,30
