h3,land,land_frac,wc_code
8929aeb23a3ffff,developed,0.959,50
8929aeb23a7ffff,developed,0.996,50
8929aeb23abffff,developed,0.947,50
8929aeb23afffff,developed,0.934,50
8929aeb23b3ffff,developed,0.907,50
8929aeb23b7ffff,developed,0.964,50
8929aeb23bbffff,developed,0.993,50
8929aeb23c3ffff,developed,0.64,50
8929aeb23c7ffff,bare ground,0.55,60
8929aeb23cbffff,grassland,0.522,30
8929aeb23cfffff,developed,0.594,50
8929aeb23d3ffff,developed,0.486,50
8929aeb23d7ffff,developed,0.522,50
8929aeb23dbffff,developed,0.885,50
8929aeb2403ffff,developed,0.642,50
8929aeb2407ffff,developed,0.856,50
8929aeb240bffff,developed,0.721,50
8929aeb240fffff,developed,0.525,50
8929aeb2413ffff,developed,0.426,50
8929aeb2417ffff,developed,0.987,50
8929aeb241bffff,bare ground,0.482,60
8929aeb2423ffff,developed,0.855,50
8929aeb2427ffff,developed,0.74,50
