GEOID,pop,pop_moe,income,income_moe,units,units_moe,occupied,occupied_moe,pop65,pop65_moe,acs_year
060290035003,439,264,28591.0,12896.0,516,206,339,199,125,122.35603785674003,2024
060290035004,1331,644,56515.0,36082.0,492,236,492,236,98,83.40263784797217,2024
060290035005,1676,726,83667.0,35373.0,730,352,730,352,516,410.0841377083488,2024
060290036001,768,523,58182.0,9237.0,217,106,192,105,25,51.42956348249516,2024
060290036002,2171,614,31554.0,24655.0,615,128,590,129,96,62.24146527838174,2024
060290036003,482,183,,,242,81,219,76,50,57.73214009544424,2024
060290036004,1091,404,53125.0,7263.0,533,135,423,119,88,64.41273166075166,2024
060290038061,3055,644,100625.0,55610.0,1017,179,988,180,324,117.8261431092438,2024
060290038062,1711,459,106861.0,35481.0,521,123,521,123,133,90.38805230781334,2024
060290038063,1296,574,139948.0,89133.0,421,170,421,170,238,94.94208761134337,2024
060290038071,632,228,68226.0,24864.0,358,113,242,81,156,72.12489168102785,2024
060290038072,835,314,95682.0,39931.0,306,84,306,84,214,113.98245479020005,2024
060290038073,1942,735,138953.0,33606.0,536,104,476,108,376,132.70267518026907,2024
060290038081,1676,477,98158.0,28915.0,655,139,616,137,227,80.31189202104505,2024
060290038082,1216,367,,,446,154,446,154,51,56.24055476255546,2024
060290038083,1701,557,103105.0,24043.0,519,135,519,135,135,89.4371287553441,2024
060290038101,1258,302,184042.0,26055.0,418,77,397,69,196,67.35725647619564,2024
060290038102,1279,281,106538.0,21511.0,480,126,480,126,188,59.016946718718,2024
060290038111,1575,375,81961.0,36856.0,618,108,576,107,175,82.26177727231524,2024
060290038112,952,312,82500.0,25927.0,317,104,312,106,109,62.63385665915839,2024
060290038121,1585,317,100977.0,26015.0,807,142,653,144,571,196.38991827484423,2024
060290038122,1576,472,100897.0,24930.0,662,180,619,177,179,94.52512893405647,2024
060290038123,1649,750,81506.0,36226.0,473,133,473,133,157,98.50888284819801,2024
060290038141,2358,1196,140455.0,67828.0,665,284,630,281,142,136.08085831592922,2024
060290038142,1942,950,96650.0,42411.0,626,320,626,320,232,131.6016717219048,2024
060290038143,3110,774,150234.0,33237.0,862,216,862,216,73,60.6217782649107,2024
060290038151,1904,433,100784.0,25625.0,726,140,726,140,138,73.41661937191061,2024
060290038152,1935,768,166824.0,52172.0,487,179,487,179,138,94.53570753953238,2024
060290038153,2125,1061,183929.0,55205.0,647,271,618,273,218,134.82210501249415,2024
060290038161,1114,415,106707.0,25565.0,361,118,350,115,97,73.70210309075311,2024
060290038162,1616,567,175000.0,83525.0,479,154,444,154,102,72.76675064890557,2024
060290038171,1692,573,143182.0,63486.0,470,115,470,115,275,125.08397179495061,2024
060290038172,1068,373,156542.0,33865.0,395,128,395,128,38,50.41825066382212,2024
060290038173,1180,380,113456.0,44833.0,444,146,444,146,130,79.54872720540537,2024
060290038181,2192,1134,106005.0,6438.0,574,239,523,238,18,43.840620433565945,2024
060290038182,866,410,84871.0,49844.0,369,122,323,107,129,74.2024258363566,2024
060290038183,2229,677,87254.0,44886.0,606,136,581,139,171,78.33900688673555,2024
060290038191,927,375,108125.0,18364.0,285,86,285,86,97,62.56196927846821,2024
060290038192,1707,988,92944.0,54923.0,564,229,492,203,156,105.26157893552613,2024
060290038193,710,286,149787.0,80271.0,285,128,285,128,229,143.29340529138108,2024
060290038194,1023,302,127222.0,92419.0,415,139,352,103,126,70.0,2024
060290038201,1145,409,121404.0,18233.0,405,134,405,134,279,125.57467897629681,2024
060290038202,920,268,86181.0,21359.0,499,120,491,121,557,150.26975743641833,2024
060290038203,1055,311,195855.0,66625.0,330,102,305,98,33,52.306787322488084,2024
060290038211,2124,1001,112212.0,29876.0,605,158,605,158,256,124.59534501738017,2024
060290038212,1684,350,141042.0,36856.0,553,88,506,96,211,81.46778504415104,2024
060290038213,548,345,188738.0,2399.0,251,176,251,176,292,220.8008152158864,2024
060290038221,1273,325,131989.0,25422.0,381,95,381,95,91,66.84309986827361,2024
060290038222,1607,463,147500.0,28626.0,534,94,464,105,146,73.48469228349535,2024
060290038231,1725,624,142473.0,67807.0,611,170,507,129,352,148.42506526863986,2024
060290038232,2988,1136,160208.0,100883.0,958,354,942,356,339,242.79415149463549,2024
060290038241,1012,768,88317.0,21031.0,371,220,353,222,69,65.2916533716217,2024
060290038242,1320,240,,,621,186,596,201,381,209.45405224058092,2024
060290038251,2786,294,120343.0,15420.0,827,104,827,104,209,96.91749068150702,2024
060290038261,333,189,200625.0,67635.0,113,59,113,59,88,66.17401302626281,2024
060290038262,586,223,141708.0,101235.0,217,88,217,88,118,123.03657992645927,2024
060290038263,1732,426,148000.0,50841.0,703,157,644,140,172,120.17071190602142,2024
060290038271,2306,609,131304.0,42481.0,572,148,572,148,53,52.896124621752776,2024
