h3,name,holc,access_min,access_km,street_m,access_src,access_snap_m,access_quality
8929ac4860fffff,Weedpatch SW 58,,125.2,10.01,0.0,routed,1091.0,approach-review
8929ac4861bffff,Weedpatch SW 63,,126.9,10.15,0.0,routed,631.0,approach-review
8929ac48623ffff,Weedpatch SW 61,,123.6,9.89,0.0,routed,969.0,approach-review
8929ac48627ffff,Weedpatch SW 64,,125.3,10.02,0.0,routed,1099.0,approach-review
8929ac4862bffff,Weedpatch SW 54,,119.4,9.55,0.0,routed,630.0,approach-review
8929ac4862fffff,Weedpatch SW 56,,120.6,9.65,0.0,routed,727.0,approach-review
8929ac48633ffff,Weedpatch SW 69,,151.3,12.11,0.0,routed,881.0,approach-review
8929ac48637ffff,Weedpatch SW 70,,146.9,11.75,0.0,routed,529.0,approach-review
8929ac4863bffff,Weedpatch SW 60,,123.6,9.89,0.0,routed,966.0,approach-review
8929ac48663ffff,Weedpatch SW 48,,109.1,8.73,0.0,routed,1026.0,approach-review
8929ac48667ffff,Weedpatch SW 49,,111.9,8.95,0.0,routed,1255.0,approach-review
8929ac4866fffff,Weedpatch SW 44,,107.5,8.6,0.0,routed,1458.0,approach-review
8929ac48673ffff,Weedpatch SW 51,,111.9,8.95,0.0,routed,1249.0,approach-review
8929ac48677ffff,Weedpatch SW 53,,114.2,9.14,0.0,routed,1195.0,approach-review
8929ac486a7ffff,Weedpatch SW 78,,152.9,12.23,0.0,routed,248.0,approach-review
8929ac486abffff,Weedpatch SW 73,,155.2,12.41,0.0,routed,763.0,approach-review
8929ac486afffff,Weedpatch SW 74,,149.0,11.92,0.0,routed,696.0,approach-review
8929ac48827ffff,Southland R.V. Park SW 4,,120.7,9.66,37.0,routed,313.0,approach-review
8929ac48867ffff,Southland R.V. Park SW 3,,107.3,8.58,607.0,routed,482.0,approach-review
8929ac4886fffff,Southland R.V. Park SW 2,,105.7,8.46,164.0,routed,356.0,approach-review
8929ac48923ffff,Southland R.V. Park W 37,,109.5,8.76,388.0,routed,121.0,approach-review
8929ac48927ffff,Southland R.V. Park W 45,,111.1,8.89,509.0,routed,176.0,approach-review
8929ac4892bffff,Southland R.V. Park W 33,,107.3,8.58,43.0,routed,243.0,approach-review
8929ac4892fffff,Southland R.V. Park W 40,,104.9,8.39,1486.0,routed,143.0,approach-review
8929ac48933ffff,Southland R.V. Park W 36,,113.6,9.09,359.0,routed,173.0,approach-review
8929ac48937ffff,Southland R.V. Park W 43,,116.6,9.32,0.0,routed,42.0,network-estimate
8929ac4893bffff,Southland R.V. Park W 32,,111.7,8.94,36.0,routed,295.0,approach-review
8929ac48943ffff,Southland R.V. Park W 14,,113.3,9.07,300.0,routed,474.0,approach-review
8929ac48947ffff,Southland R.V. Park W 18,,114.5,9.16,0.0,routed,516.0,approach-review
8929ac4894bffff,Southland R.V. Park W 9,,111.4,8.91,80.0,routed,320.0,approach-review
8929ac4894fffff,Southland R.V. Park W 13,,109.3,8.74,272.0,routed,188.0,approach-review
8929ac48953ffff,Southland R.V. Park W 16,,118.5,9.48,388.0,routed,136.0,approach-review
8929ac48957ffff,Southland R.V. Park W 20,,119.3,9.54,0.0,routed,403.0,approach-review
8929ac4895bffff,Southland R.V. Park W 11,,115.9,9.27,323.0,routed,378.0,approach-review
8929ac48963ffff,Southland R.V. Park W 25,,114.0,9.12,1195.0,routed,167.0,approach-review
8929ac48967ffff,Southland R.V. Park W 29,,110.6,8.85,1292.0,routed,122.0,approach-review
8929ac4896bffff,Southland R.V. Park W 21,,107.4,8.59,1632.0,routed,80.0,network-estimate
8929ac4896fffff,Southland R.V. Park W 26,,108.4,8.68,1475.0,routed,158.0,approach-review
8929ac48973ffff,Southland R.V. Park W 24,,116.6,9.33,365.0,routed,392.0,approach-review
8929ac48977ffff,Southland R.V. Park W 28,,114.6,9.16,563.0,routed,112.0,approach-review
